Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Solute transport.channel-mediated transport	0.012195121951219513	8	0.005434782608695652	457	True	darkgreen
Nutrient uptake.iron uptake	0.010670731707317074	7	0.0025687375130815336	216	True	darkgreen
External stimuli response.light	0.009146341463414634	6	0.0033655218342688612	283	True	darkgreen
External stimuli response.symbiont	0.001524390243902439	1	0.0009394919608029683	79	True	darkgreen
Multi-process regulation.circadian clock system	0.004573170731707317	3	0.001355722576348587	114	True	darkgreen
Multi-process regulation.SnRK1-kinase regulatory system	0.001524390243902439	1	0.0014627533060603177	123	True	darkgreen
Multi-process regulation.phosphoinositide signalling	0.010670731707317074	7	0.005113690419560461	430	True	darkgreen
Multi-process regulation.UPR (Unfolded Protein Response) signalling	0.004573170731707317	3	0.0007729997145847207	65	True	darkgreen
Plant reproduction.gametogenesis	0.001524390243902439	1	0.0018195224050994196	153	False	darkgreen
Plant reproduction.embryogenesis	0.010670731707317074	7	0.001165445723527733	98	True	darkgreen
Plant organogenesis.leaf formation	0.03353658536585366	22	0.001974122348016364	166	True	darkgreen
not assigned.annotated	0.2423780487804878	159	0.30792740938064883	25893	False	darkgreen
not assigned.not annotated	0.06859756097560976	45	0.06590714489582342	5542	True	darkgreen
Enzyme classification.EC_1 oxidoreductases	0.03048780487804878	20	0.022809437731899914	1918	True	darkgreen
Enzyme classification.EC_2 transferases	0.038109756097560975	25	0.061459423461135955	5168	False	darkgreen
Enzyme classification.EC_3 hydrolases	0.04725609756097561	31	0.024486252497383693	2059	True	darkgreen
Enzyme classification.EC_4 lyases	0.013719512195121951	9	0.00556559794500999	468	True	darkgreen
Enzyme classification.EC_5 isomerases	0.001524390243902439	1	0.0044239368280848635	372	False	darkgreen
Enzyme classification.EC_6 ligases	0.013719512195121951	9	0.003912567786128817	329	True	darkgreen
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Cell division.cell cycle organisation	0.06060606060606061	2	0.007397012653410712	622	True	plum1
RNA biosynthesis.DNA-binding transcriptional regulation	0.030303030303030304	1	0.049376843307011704	4152	False	plum1
Multi-process regulation.G-protein-dependent signalling	0.030303030303030304	1	0.0005589382551612597	47	True	plum1
not assigned.annotated	0.48484848484848486	16	0.30792740938064883	25893	True	plum1
not assigned.not annotated	0.3333333333333333	11	0.06590714489582342	5542	True	plum1
Enzyme classification.EC_2 transferases	0.06060606060606061	2	0.061459423461135955	5168	False	plum1
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Cellular respiration.oxidative phosphorylation	0.009259259259259259	5	0.005137475026163067	432	True	lightgreen
Carbohydrate metabolism.sucrose metabolism	0.003703703703703704	2	0.0019503377414137571	164	True	lightgreen
Carbohydrate metabolism.nucleotide sugar biosynthesis	0.001851851851851852	1	0.002128722290933308	179	False	lightgreen
Amino acid metabolism.glutamate group amino acid biosynthesis	0.007407407407407408	4	0.001593568642374655	134	True	lightgreen
Amino acid metabolism.aspartate group amino acid biosynthesis	0.001851851851851852	1	0.0022952145371515557	193	False	lightgreen
Nucleotide metabolism.purines	0.005555555555555556	3	0.002330891447055466	196	True	lightgreen
Coenzyme metabolism.tetrahydrofolate metabolism	0.001851851851851852	1	0.0010227380839120922	86	True	lightgreen
Secondary metabolism.terpenoid biosynthesis	0.001851851851851852	1	0.0028898297022167253	243	False	lightgreen
Redox homeostasis.ascorbate-based redox regulation	0.001851851851851852	1	0.0015816763390733518	133	True	lightgreen
Phytohormone action.jasmonic acid	0.003703703703703704	2	0.0015222148225668348	128	True	lightgreen
Chromatin organisation.chromatin structure	0.001851851851851852	1	0.002426029873465893	204	False	lightgreen
Cell division.DNA replication	0.001851851851851852	1	0.004364475311578346	367	False	lightgreen
Cell division.cell cycle organisation	0.020370370370370372	11	0.007397012653410712	622	True	lightgreen
Cell division.meiotic recombination	0.03148148148148148	17	0.003246598801255827	273	True	lightgreen
Cell division.cytokinesis	0.009259259259259259	5	0.003936352392731424	331	True	lightgreen
DNA damage response.homologous recombination repair (HR)	0.001851851851851852	1	0.001201122633431643	101	True	lightgreen
RNA biosynthesis.RNA polymerase II-dependent transcription	0.005555555555555556	3	0.006255351536485586	526	False	lightgreen
RNA biosynthesis.RNA polymerase III-dependent transcription	0.001851851851851852	1	0.0013438302730472839	113	True	lightgreen
RNA biosynthesis.DNA-binding transcriptional regulation	0.014814814814814815	8	0.049376843307011704	4152	False	lightgreen
RNA biosynthesis.transcriptional co-regulation	0.001851851851851852	1	0.002461706783369803	207	False	lightgreen
RNA processing.tRNA modification	0.003703703703703704	2	0.003234706497954524	272	True	lightgreen
RNA processing.organelle RNA modification	0.003703703703703704	2	0.001771953191894206	149	True	lightgreen
RNA homeostasis.mRNA degradation	0.001851851851851852	1	0.0029730758253258493	250	False	lightgreen
RNA homeostasis.mRNA silencing	0.001851851851851852	1	0.002640091332889354	222	False	lightgreen
RNA homeostasis.post-transcriptional regulator activities	0.014814814814814815	8	0.004019598515840548	338	True	lightgreen
RNA homeostasis.RNA transport	0.005555555555555556	3	0.0015341071258681382	129	True	lightgreen
Protein biosynthesis.ribosome biogenesis	0.016666666666666666	9	0.012772333745599848	1074	True	lightgreen
Protein biosynthesis.translation initiation	0.003703703703703704	2	0.002164399200837218	182	True	lightgreen
Protein biosynthesis.organellar translation machinery	0.005555555555555556	3	0.006421843782703834	540	False	lightgreen
Protein modification.lipidation	0.014814814814814815	8	0.0035914755969936258	302	True	lightgreen
Protein modification.phosphorylation	0.009259259259259259	5	0.022928360764912947	1928	False	lightgreen
Protein modification.targeting peptide maturation	0.003703703703703704	2	0.0016887070687850822	142	True	lightgreen
Protein homeostasis.protein quality control	0.001851851851851852	1	0.006017505470459519	506	False	lightgreen
Protein homeostasis.ubiquitin-proteasome system	0.009259259259259259	5	0.031110265436209684	2616	False	lightgreen
Protein homeostasis.proteolysis	0.011111111111111112	6	0.009692227190562269	815	True	lightgreen
Cytoskeleton organisation.actin and tubulin folding	0.001851851851851852	1	0.0009632765674055751	81	True	lightgreen
Cell wall organisation.hemicellulose	0.001851851851851852	1	0.004661782894110932	392	False	lightgreen
Vesicle trafficking.vesicle tethering	0.001851851851851852	1	0.004661782894110932	392	False	lightgreen
Vesicle trafficking.vesicle target membrane fusion	0.001851851851851852	1	0.0019979069546189705	168	False	lightgreen
Protein translocation.mitochondrion	0.003703703703703704	2	0.001141661116925126	96	True	lightgreen
Solute transport.primary active transport	0.003703703703703704	2	0.005803444011036057	488	False	lightgreen
Solute transport.carrier-mediated transport	0.014814814814814815	8	0.026115498049662258	2196	False	lightgreen
External stimuli response.pathogen	0.001851851851851852	1	0.0042217676719627055	355	False	lightgreen
Multi-process regulation.ROP-GTPase regulatory system	0.003703703703703704	2	0.0023903529635619825	201	True	lightgreen
Multi-process regulation.calcium homeostasis	0.014814814814814815	8	0.003960136999334031	333	True	lightgreen
Multi-process regulation.G-protein-dependent signalling	0.001851851851851852	1	0.0005589382551612597	47	True	lightgreen
Multi-process regulation.ppGpp (hyperphosphorylated guanylate) signalling	0.001851851851851852	1	0.0002854152792312815	24	True	lightgreen
Plant reproduction.gametogenesis	0.001851851851851852	1	0.0018195224050994196	153	True	lightgreen
not assigned.annotated	0.5166666666666667	279	0.30792740938064883	25893	True	lightgreen
not assigned.not annotated	0.09814814814814815	53	0.06590714489582342	5542	True	lightgreen
Enzyme classification.EC_1 oxidoreductases	0.007407407407407408	4	0.022809437731899914	1918	False	lightgreen
Enzyme classification.EC_2 transferases	0.04814814814814815	26	0.061459423461135955	5168	False	lightgreen
Enzyme classification.EC_3 hydrolases	0.022222222222222223	12	0.024486252497383693	2059	False	lightgreen
Enzyme classification.EC_4 lyases	0.005555555555555556	3	0.00556559794500999	468	False	lightgreen
Enzyme classification.EC_5 isomerases	0.009259259259259259	5	0.0044239368280848635	372	True	lightgreen
Function	MEratio	MEtotal	Tratio	Ttotal	ME_representation	ME
Photosynthesis.photophosphorylation	0.000501798109893786	6	0.006243459233184283	525	False	blue
Photosynthesis.calvin cycle	0.000501798109893786	6	0.0014032917895538007	118	False	blue
Photosynthesis.photorespiration	0.000250899054946893	3	0.0007373228046808106	62	False	blue
Photosynthesis.CAM/C4 photosynthesis	0.0015053943296813581	18	0.0008205689277899343	69	True	blue
Cellular respiration.glycolysis	0.0007526971648406791	9	0.0012605841499381601	106	False	blue
Cellular respiration.pyruvate oxidation	0.000501798109893786	6	0.0004637998287508325	39	True	blue
Cellular respiration.tricarboxylic acid cycle	0.0008363301831563101	10	0.0016649224621824756	140	False	blue
Cellular respiration.oxidative phosphorylation	0.0033453207326252406	40	0.005137475026163067	432	False	blue
Carbohydrate metabolism.sucrose metabolism	0.0029271556410470855	35	0.0019503377414137571	164	True	blue
Carbohydrate metabolism.starch metabolism	0.0014217613113657272	17	0.0021168299876320046	178	False	blue
Carbohydrate metabolism.oligosaccharide metabolism	0.000250899054946893	3	0.0003924460089430121	33	False	blue
Carbohydrate metabolism.mannose metabolism	0.000250899054946893	3	0.00023784606602606794	20	True	blue
Carbohydrate metabolism.oxidative pentose phosphate pathway	0.00041816509157815507	5	0.0005470459518599562	46	False	blue
Carbohydrate metabolism.gluconeogenesis	0.00016726603663126202	2	0.0002497383693273713	21	False	blue
Carbohydrate metabolism.plastidial glycolysis	0.001003596219787572	12	0.0006540766815716869	55	True	blue
Carbohydrate metabolism.nucleotide sugar biosynthesis	0.001003596219787572	12	0.002128722290933308	179	False	blue
Amino acid metabolism.glutamate group amino acid biosynthesis	0.0027598896044158236	33	0.001593568642374655	134	True	blue
Amino acid metabolism.aspartate group amino acid biosynthesis	0.002007192439575144	24	0.0022952145371515557	193	False	blue
Amino acid metabolism.pyruvate group amino acid biosynthesis	0.0012544952747344652	15	0.0007611074112834174	64	True	blue
Amino acid metabolism.serine group amino acid biosynthesis	0.00041816509157815507	5	0.0005232613452573494	44	False	blue
Amino acid metabolism.shikimate group amino acid biosynthesis	0.0011708622564188342	14	0.0014270763961564076	120	False	blue
Amino acid metabolism.amino acid degradation	0.0026762565861001924	32	0.002854152792312815	240	False	blue
Amino acid metabolism.polyamine metabolism	0.002174458476206406	26	0.0010227380839120922	86	True	blue
Lipid metabolism.fatty acid metabolism	0.006690641465250481	80	0.005327751878983922	448	True	blue
Lipid metabolism.glycerolipid metabolism	0.0036798528058877645	44	0.006183997716677766	520	False	blue
Lipid metabolism.sphingolipid metabolism	0.0012544952747344652	15	0.0019860146513176673	167	False	blue
Lipid metabolism.phytosterol metabolism	0.002007192439575144	24	0.0014508610027590143	122	True	blue
Lipid metabolism.lipid-A biosynthesis	0.00041816509157815507	5	0.00023784606602606794	20	True	blue
Lipid metabolism.lipid trafficking	0.000501798109893786	6	0.0015341071258681382	129	False	blue
Lipid metabolism.cytoplasmic lipid droplet-associated activities	0.00016726603663126202	2	0.000987061174008182	83	False	blue
Lipid metabolism.plastoglobule-associated activities	8.363301831563101e-05	1	0.00016649224621824755	14	False	blue
Nucleotide metabolism.purines	0.0017562933846282513	21	0.002330891447055466	196	False	blue
Nucleotide metabolism.pyrimidines	0.002007192439575144	24	0.0011892303301303396	100	True	blue
Nucleotide metabolism.deoxynucleotides	0.0023417245128376685	28	0.0006183997716677766	52	True	blue
Nucleotide metabolism.non-canonical nucleotide metabolism	0.00016726603663126202	2	7.135381980782038e-05	6	True	blue
Coenzyme metabolism.molybdenum cofactor biosynthesis	0.0005854311282094171	7	0.0003210921891351917	27	True	blue
Coenzyme metabolism.thiamine pyrophosphate metabolism	0.000501798109893786	6	0.0003924460089430121	33	True	blue
Coenzyme metabolism.coenzyme A metabolism	0.0005854311282094171	7	0.0003924460089430121	33	True	blue
Coenzyme metabolism.tetrahydrofolate metabolism	0.0015053943296813581	18	0.0010227380839120922	86	True	blue
Coenzyme metabolism.NAD/NADP biosynthesis	0.0008363301831563101	10	0.0006778612881742935	57	True	blue
Coenzyme metabolism.FMN/FAD biosynthesis	0.0008363301831563101	10	0.0006778612881742935	57	True	blue
Coenzyme metabolism.phosphoadenosine phosphosulfate (PAPS) homeostasis	0.00033453207326252405	4	0.0003210921891351917	27	True	blue
Coenzyme metabolism.iron-sulfur cluster assembly machinery	0.0014217613113657272	17	0.0015816763390733518	133	False	blue
Coenzyme metabolism.heme homeostasis	0.000501798109893786	6	0.0004637998287508325	39	True	blue
Coenzyme metabolism.chlorophyll metabolism	0.00033453207326252405	4	0.001379507182951194	116	False	blue
Secondary metabolism.terpenoid biosynthesis	0.0013381282930500962	16	0.0028898297022167253	243	False	blue
Secondary metabolism.phenolics biosynthesis	0.000250899054946893	3	0.0009394919608029683	79	False	blue
Redox homeostasis.reactive oxygen scavenging	0.0007526971648406791	9	0.000570830558462563	48	True	blue
Redox homeostasis.glutathione-based redox regulation	0.000501798109893786	6	0.0018789839216059366	158	False	blue
Redox homeostasis.thiol-based redox regulation	0.001087229238103203	13	0.001201122633431643	101	False	blue
Redox homeostasis.ascorbate-based redox regulation	0.0005854311282094171	7	0.0015816763390733518	133	False	blue
Redox homeostasis.tocopherol biosynthesis	0.00033453207326252405	4	0.0003567690990391019	30	False	blue
Redox homeostasis.reactive oxygen-induced signalling	0.0005854311282094171	7	0.0012843687565407668	108	False	blue
Phytohormone action.abscisic acid	0.0019235594212595132	23	0.0017957377984968129	151	True	blue
Phytohormone action.auxin	0.0025089905494689304	30	0.003698506326705356	311	False	blue
Phytohormone action.brassinosteroid	0.0015053943296813581	18	0.0014627533060603177	123	True	blue
Phytohormone action.cytokinin	0.0011708622564188342	14	0.002128722290933308	179	False	blue
Phytohormone action.ethylene	0.0008363301831563101	10	0.0010703072971173057	90	False	blue
Phytohormone action.jasmonic acid	0.000501798109893786	6	0.0015222148225668348	128	False	blue
Phytohormone action.strigolactone	0.00016726603663126202	2	0.0004400152221482257	37	False	blue
Phytohormone action.signalling peptides	0.002592623567784561	31	0.0029492912187232424	248	False	blue
Chromatin organisation.chromatin structure	0.0066070084469348495	79	0.002426029873465893	204	True	blue
Chromatin organisation.histone chaperone activities	0.0029271556410470855	35	0.000927599657501665	78	True	blue
Chromatin organisation.post-translational histone modification	0.007610604666722422	91	0.008812196746265816	741	False	blue
Chromatin organisation.nucleosome remodeling	0.004181650915781551	50	0.0038887831795262106	327	True	blue
Chromatin organisation.epigenetic state regulation	0.003930751860834658	47	0.0032228141946532203	271	True	blue
Chromatin organisation.DNA homeostasis	0.000250899054946893	3	0.00022595376272476454	19	True	blue
Chromatin organisation.organelle machinery	0.000501798109893786	6	0.00020216915612215775	17	True	blue
Cell division.DNA replication	0.011290457472610187	135	0.004364475311578346	367	True	blue
Cell division.cell cycle organisation	0.019319227230910764	231	0.007397012653410712	622	True	blue
Cell division.meiotic recombination	0.005603412227147278	67	0.003246598801255827	273	True	blue
Cell division.cytokinesis	0.008614200886509995	103	0.003936352392731424	331	True	blue
Cell division.plastid division	0.0007526971648406791	9	0.0009989534773094852	84	False	blue
Cell division.mitochondrion/peroxisome binary fission	0.0014217613113657272	17	0.0004994767386547426	42	True	blue
DNA damage response.DNA damage sensing and signalling	0.0012544952747344652	15	0.0006421843782703834	54	True	blue
DNA damage response.DNA damage tolerance (DDT) pathways	0.000250899054946893	3	0.0003329844924364951	28	False	blue
DNA damage response.homologous recombination repair (HR)	0.0032616877143096094	39	0.001201122633431643	101	True	blue
DNA damage response.nonhomologous end-joining (NHEJ) repair	0.0007526971648406791	9	0.0003448767957377985	29	True	blue
DNA damage response.base excision repair (BER)	0.001003596219787572	12	0.0004756921320521359	40	True	blue
DNA damage response.nucleotide excision repair (NER)	0.0005854311282094171	7	0.0010108457806107887	85	False	blue
DNA damage response.mismatch repair (MMR)	0.00033453207326252405	4	0.00015459994291694415	13	True	blue
DNA damage response.DNA-protein crosslink (DPC) repair	0.000501798109893786	6	0.00019027685282085435	16	True	blue
RNA biosynthesis.DNA-dependent RNA polymerase complexes	0.0038471188425190264	46	0.0019384454381124537	163	True	blue
RNA biosynthesis.RNA polymerase I-dependent transcription	0.0006690641465250481	8	0.00021406145942346114	18	True	blue
RNA biosynthesis.RNA polymerase II-dependent transcription	0.0036798528058877645	44	0.006255351536485586	526	False	blue
RNA biosynthesis.RNA polymerase III-dependent transcription	0.0007526971648406791	9	0.0013438302730472839	113	False	blue
RNA biosynthesis.DNA-binding transcriptional regulation	0.0455799949820189	545	0.049376843307011704	4152	False	blue
RNA biosynthesis.transcriptional co-regulation	0.0015890273479969893	19	0.002461706783369803	207	False	blue
RNA biosynthesis.organellar gene expression machinery	0.001087229238103203	13	0.0014984302159642279	126	False	blue
RNA processing.spliceosome-mediated pre-mRNA splicing	0.010872292381032031	130	0.008633812196746266	726	True	blue
RNA processing.pre-RNA group-I/-II intron splicing	0.0014217613113657272	17	0.0019265531348111502	162	False	blue
RNA processing.pre-tRNA splicing	8.363301831563101e-05	1	0.00013081533631433735	11	False	blue
RNA processing.mRNA modification	0.002592623567784561	31	0.0027471220626010848	231	False	blue
RNA processing.tRNA modification	0.005937944300409802	71	0.003234706497954524	272	True	blue
RNA processing.RNA pseudouridylation	0.002007192439575144	24	0.0009157073542003615	77	True	blue
RNA processing.organelle RNA modification	0.0035125867692565025	42	0.001771953191894206	149	True	blue
RNA homeostasis.mRNA degradation	0.004432549970728444	53	0.0029730758253258493	250	True	blue
RNA homeostasis.mRNA surveillance pathways	8.363301831563101e-05	1	0.0009632765674055751	81	False	blue
RNA homeostasis.mitochondrial mRNA homeostasis	0.001087229238103203	13	0.0002497383693273713	21	True	blue
RNA homeostasis.mRNA silencing	0.0029271556410470855	35	0.002640091332889354	222	True	blue
RNA homeostasis.post-transcriptional regulator activities	0.0042652839340971815	51	0.004019598515840548	338	True	blue
RNA homeostasis.mRNA stress granule formation	0.002592623567784561	31	0.000927599657501665	78	True	blue
RNA homeostasis.RNA transport	0.0022580914945220373	27	0.0015341071258681382	129	True	blue
Protein biosynthesis.ribosome biogenesis	0.055699590198210254	666	0.012772333745599848	1074	True	blue
Protein biosynthesis.aminoacyl-tRNA formation	0.0033453207326252406	40	0.0012486918466368567	105	True	blue
Protein biosynthesis.translation initiation	0.006523375428619219	78	0.002164399200837218	182	True	blue
Protein biosynthesis.translation elongation	0.005185247135569122	62	0.0012130149367329465	102	True	blue
Protein biosynthesis.organellar translation machinery	0.01070502634440077	128	0.006421843782703834	540	True	blue
Protein modification.glycosylation	0.002174458476206406	26	0.002342783750356769	197	False	blue
Protein modification.acetylation	0.00016726603663126202	2	0.0007373228046808106	62	False	blue
Protein modification.lipidation	0.004348916952412812	52	0.0035914755969936258	302	True	blue
Protein modification.phosphorylation	0.021660951743748432	259	0.022928360764912947	1928	False	blue
Protein modification.dephosphorylation	0.00919963201471941	110	0.006076966986966035	511	True	blue
Protein modification.ADP-ribosylation	0.0011708622564188342	14	0.0003805537056417087	32	True	blue
Protein modification.S-glutathionylation	0.00041816509157815507	5	0.0003448767957377985	29	True	blue
Protein modification.hydroxylation	0.000501798109893786	6	0.0003091998858338883	26	True	blue
Protein modification.methylation	0.0005854311282094171	7	0.0002973075825325849	25	True	blue
Protein modification.targeting peptide maturation	0.0016726603663126203	20	0.0016887070687850822	142	False	blue
Protein modification.protein folding	0.0011708622564188342	14	0.0013081533631433737	110	False	blue
Protein modification.pyroglutamate formation	0.000250899054946893	3	0.00013081533631433735	11	True	blue
Protein homeostasis.protein quality control	0.008028769758300577	96	0.006017505470459519	506	True	blue
Protein homeostasis.ubiquitin-proteasome system	0.032700510161411726	391	0.031110265436209684	2616	True	blue
Protein homeostasis.proteolysis	0.010119595216191352	121	0.009692227190562269	815	True	blue
Protein homeostasis.protein storage	8.363301831563101e-05	1	0.0003329844924364951	28	False	blue
Cytoskeleton organisation.microtubular network	0.012544952747344651	150	0.005113690419560461	430	True	blue
Cytoskeleton organisation.microfilament network	0.0048507150623065985	58	0.005161259632765674	434	False	blue
Cytoskeleton organisation.actin and tubulin folding	0.0036798528058877645	44	0.0009632765674055751	81	True	blue
Cytoskeleton organisation.nuclear dynamics	0.0017562933846282513	21	0.0009157073542003615	77	True	blue
Cytoskeleton organisation.plastid movement	0.00041816509157815507	5	0.0003567690990391019	30	True	blue
Cytoskeleton organisation.cytoskeleton-plasma membrane-cell wall interface	0.000250899054946893	3	7.135381980782038e-05	6	True	blue
Cytoskeleton organisation.endoplasmic reticulum (ER) - cell/organelle membrane contact	0.0013381282930500962	16	0.0008919227475977547	75	True	blue
Cell wall organisation.cellulose	0.0009199632014719411	11	0.0016887070687850822	142	False	blue
Cell wall organisation.hemicellulose	0.0035962197875721333	43	0.004661782894110932	392	False	blue
Cell wall organisation.pectin	0.005101614117253492	61	0.004257444581866616	358	True	blue
Cell wall organisation.cell wall proteins	0.0016726603663126203	20	0.0018433070117020265	155	False	blue
Cell wall organisation.cell wall hydroxycinnamic acids	0.00016726603663126202	2	7.135381980782038e-05	6	True	blue
Cell wall organisation.lignin	0.00033453207326252405	4	0.0010108457806107887	85	False	blue
Cell wall organisation.callose	0.0017562933846282513	21	0.0005946151650651698	50	True	blue
Cell wall organisation.cutin and suberin	0.0017562933846282513	21	0.0017481685852915993	147	True	blue
Cell wall organisation.cell surface reactive oxygen homeostasis	0.00033453207326252405	4	0.00011892303301303397	10	True	blue
Vesicle trafficking.anterograde trafficking	0.0034289537509408713	41	0.0026044144229854438	219	True	blue
Vesicle trafficking.retrograde trafficking	0.004683449025675337	56	0.0037936447531157834	319	True	blue
Vesicle trafficking.endocytic trafficking	0.0016726603663126203	20	0.0022357530206450387	188	False	blue
Vesicle trafficking.exocytic trafficking	0.0018399264029438822	22	0.0019265531348111502	162	False	blue
Vesicle trafficking.clathrin coated vesicle machinery	0.0014217613113657272	17	0.0024141375701645894	203	False	blue
Vesicle trafficking.vesicle tethering	0.0023417245128376685	28	0.004661782894110932	392	False	blue
Vesicle trafficking.vesicle target membrane fusion	0.0015053943296813581	18	0.0019979069546189705	168	False	blue
Vesicle trafficking.autophagosome formation	0.0022580914945220373	27	0.0029255066121206355	246	False	blue
Protein translocation.chloroplast	0.0025089905494689304	30	0.0021406145942346115	180	True	blue
Protein translocation.mitochondrion	0.003930751860834658	47	0.001141661116925126	96	True	blue
Protein translocation.endoplasmic reticulum	0.0011708622564188342	14	0.0012843687565407668	108	False	blue
Protein translocation.peroxisome	0.0011708622564188342	14	0.0008919227475977547	75	True	blue
Protein translocation.nucleus	0.005268880153884754	63	0.0026163067262867474	220	True	blue
Protein translocation.plasmodesmata intercellular trafficking	0.000250899054946893	3	0.00021406145942346114	18	True	blue
Solute transport.primary active transport	0.0026762565861001924	32	0.005803444011036057	488	False	blue
Solute transport.carrier-mediated transport	0.020071924395751443	240	0.026115498049662258	2196	False	blue
Solute transport.channel-mediated transport	0.006690641465250481	80	0.005434782608695652	457	True	blue
Solute transport.porin-mediated transport	0.00041816509157815507	5	0.0003805537056417087	32	True	blue
Nutrient uptake.nitrogen assimilation	0.00033453207326252405	4	0.0012962610598420703	109	False	blue
Nutrient uptake.sulfur assimilation	8.363301831563101e-05	1	0.0003448767957377985	29	False	blue
Nutrient uptake.phosphorus assimilation	0.0005854311282094171	7	0.0006659689848729902	56	False	blue
Nutrient uptake.iron uptake	0.0015890273479969893	19	0.0025687375130815336	216	False	blue
Nutrient uptake.other micronutrient homeostasis	0.002007192439575144	24	0.0016292455522785654	137	True	blue
External stimuli response.light	0.004014384879150288	48	0.0033655218342688612	283	True	blue
External stimuli response.oxygen	0.0007526971648406791	9	0.0002616306726286747	22	True	blue
External stimuli response.carbon dioxide	0.000250899054946893	3	9.513842641042717e-05	8	True	blue
External stimuli response.gravity	0.000250899054946893	3	0.0002973075825325849	25	False	blue
External stimuli response.temperature	0.0006690641465250481	8	0.0010227380839120922	86	False	blue
External stimuli response.water and drought	0.0011708622564188342	14	0.0004162306155456189	35	True	blue
External stimuli response.salinity	0.000250899054946893	3	0.0004994767386547426	42	False	blue
External stimuli response.toxic compounds	0.00016726603663126202	2	0.0005113690419560461	43	False	blue
External stimuli response.symbiont	0.00041816509157815507	5	0.0009394919608029683	79	False	blue
External stimuli response.pathogen	0.004516182989044075	54	0.0042217676719627055	355	True	blue
