source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0005975,carbohydrate metabolic process,1.1325617870239855e-10,True,"""The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."" [GOC:mah, ISBN:0198506732]",1476,667,99,21641,0.14842578710644677,0.06707317073170732,query_1,['GO:0044238']
GO:BP,GO:0019953,sexual reproduction,1.0081138349574402e-08,True,"""A type of reproduction that combines the genetic material of two gametes (such as a sperm or egg cell or fungal spores). The gametes have an haploid genome (with a single set of chromosomes, the product of a meiotic division) and combines with one another to produce a zygote (diploid)."" [Wikipedia:Sexual_reproduction]",238,667,31,21641,0.046476761619190406,0.13025210084033614,query_1,['GO:0022414']
GO:CC,GO:0016020,membrane,1.700214566333781e-08,True,"""A lipid bilayer along with all the proteins and protein complexes embedded in it and attached to it."" [GOC:dos, GOC:mah, ISBN:0815316194]",9194,589,339,20617,0.5755517826825127,0.036871872960626495,query_1,['GO:0110165']
GO:MF,GO:0052689,carboxylic ester hydrolase activity,2.597153439433471e-08,True,"""Catalysis of the hydrolysis of a carboxylic ester bond."" [GOC:curators]",264,724,31,24541,0.04281767955801105,0.11742424242424243,query_1,['GO:0016788']
GO:BP,GO:0045488,pectin metabolic process,2.67017366087879e-08,True,"""The chemical reactions and pathways involving pectin, a group of galacturonic acid-containing, water-soluble colloidal carbohydrates of high molecular weight and of net negative charge."" [GOC:tair_curators]",102,667,20,21641,0.029985007496251874,0.19607843137254902,query_1,['GO:0010393']
GO:BP,GO:0010393,galacturonan metabolic process,2.67017366087879e-08,True,"""The chemical reactions and pathways involving galacturonan, a pectin polymer containing a backbone of alpha-(1->4)-linked D-galacturonic acid residues."" [GOC:tair_curators]",102,667,20,21641,0.029985007496251874,0.19607843137254902,query_1,['GO:0005976']
GO:BP,GO:0043086,negative regulation of catalytic activity,2.943001143705625e-08,True,"""Any process that stops or reduces the activity of an enzyme."" [GOC:ebc, GOC:jl, GOC:tb, GOC:vw]",53,667,15,21641,0.022488755622188907,0.2830188679245283,query_1,"['GO:0044092', 'GO:0050790']"
GO:MF,GO:0030234,enzyme regulator activity,5.215112432851262e-08,True,"""Binds to and modulates the activity of an enzyme."" [GOC:dph, GOC:mah, GOC:tb]",658,724,52,24541,0.0718232044198895,0.0790273556231003,query_1,['GO:0098772']
GO:BP,GO:0044092,negative regulation of molecular function,7.024021154098915e-08,True,"""Any process that stops or reduces the rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GO:jl]",56,667,15,21641,0.022488755622188907,0.26785714285714285,query_1,['GO:0065009']
GO:CC,GO:0005886,plasma membrane,3.6106836342347124e-07,True,"""The membrane surrounding a cell that separates the cell from its external environment. It consists of a phospholipid bilayer and associated proteins."" [ISBN:0716731363]",1606,589,88,20617,0.1494057724957555,0.0547945205479452,query_1,"['GO:0016020', 'GO:0071944']"
GO:MF,GO:0046910,pectinesterase inhibitor activity,7.66204701297053e-07,True,"""Binds to and stops, prevents or reduces the activity of pectinesterase."" [GOC:ai, PMID:10880981]",20,724,9,24541,0.012430939226519336,0.45,query_1,['GO:0004857']
GO:MF,GO:0003779,actin binding,3.8771244411973745e-06,True,"""Binding to monomeric or multimeric forms of actin, including actin filaments."" [GOC:clt]",174,724,22,24541,0.03038674033149171,0.12643678160919541,query_1,['GO:0008092']
GO:BP,GO:0005976,polysaccharide metabolic process,1.2181739906062911e-05,True,"""The chemical reactions and pathways involving a polysaccharide, a polymer of many (typically more than 10) monosaccharide residues linked glycosidically."" [ISBN:0198547684]",581,667,45,21641,0.06746626686656672,0.0774526678141136,query_1,"['GO:0005975', 'GO:0043170']"
GO:MF,GO:0098772,molecular function regulator activity,3.12866016980154e-05,True,"""A molecular function regulator regulates the activity of its target via non-covalent binding that does not result in covalent modification to the target. Examples of molecular function regulators include regulatory subunits of multimeric enzymes and channels. Mechanisms of regulation include allosteric changes in the target and competitive inhibition."" [GOC:dos, GOC:pt]",795,724,52,24541,0.0718232044198895,0.06540880503144654,query_1,['GO:0003674']
GO:MF,GO:0022857,transmembrane transporter activity,3.498146799727327e-05,True,"""Enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other."" [GOC:jid, GOC:mtg_transport, ISBN:0815340729]",1752,724,91,24541,0.12569060773480664,0.05194063926940639,query_1,['GO:0005215']
GO:BP,GO:0006885,regulation of pH,8.137500933697848e-05,True,"""Any process involved in the maintenance of an internal equilibrium of hydrogen ions, thereby modulating the internal pH, within an organism or cell."" [GOC:dph, GOC:go_curators, GOC:tb]",56,667,12,21641,0.017991004497751123,0.21428571428571427,query_1,"['GO:0055080', 'GO:0065007']"
GO:BP,GO:0016052,carbohydrate catabolic process,8.436694358255958e-05,True,"""The chemical reactions and pathways resulting in the breakdown of carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."" [ISBN:0198506732]",363,667,32,21641,0.047976011994003,0.0881542699724518,query_1,"['GO:0005975', 'GO:0009056']"
GO:MF,GO:0035673,oligopeptide transmembrane transporter activity,0.00010382944789454949,True,"""Enables the transfer of oligopeptides from one side of a membrane to the other. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages."" [GOC:vw, ISBN:0198506732]",52,724,11,24541,0.015193370165745856,0.21153846153846154,query_1,['GO:0042887']
GO:MF,GO:0005215,transporter activity,0.00011090760180651287,True,"""Enables the directed movement of substances (such as macromolecules, small molecules, ions) into, out of or within a cell, accross or in between cells."" [GOC:ai, GOC:dgf]",1798,724,91,24541,0.12569060773480664,0.05061179087875417,query_1,['GO:0003674']
GO:MF,GO:0005516,calmodulin binding,0.00012471653449876784,True,"""Binding to calmodulin, a calcium-binding protein with many roles, both in the calcium-bound and calcium-free states."" [GOC:krc]",211,724,22,24541,0.03038674033149171,0.10426540284360189,query_1,['GO:0005515']
KEGG,KEGG:04626,Plant-pathogen interaction,0.00022407284396903476,True,Plant-pathogen interaction,135,83,13,3709,0.1566265060240964,0.0962962962962963,query_1,['KEGG:00000']
GO:MF,GO:0016787,hydrolase activity,0.0002966390270870483,True,"""Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."" [ISBN:0198506732]",4844,724,196,24541,0.27071823204419887,0.04046242774566474,query_1,['GO:0003824']
GO:MF,GO:0015662,P-type ion transporter activity,0.00039878679716518275,True,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O = ADP + phosphate, to directly drive the transport of ions across a membrane. The reaction is characterized by the transient formation of a high-energy aspartyl-phosphoryl-enzyme intermediate."" [PMID:10322420, PMID:10600683]",59,724,11,24541,0.015193370165745856,0.1864406779661017,query_1,['GO:0140358']
GO:MF,GO:0140358,P-type transmembrane transporter activity,0.00039878679716518275,True,"""Primary active transporter that auto-phosphorylates (hence P) at a key conserved aspartate residue, generating a conformational change that allows transport of the substrate. Hydrolysis of the phosphorylated Asp residue, catalyzed by the actuator (A) domain, results in another state with occluded substrates. Upon dissociation of Mg2+ and Pi, the enzyme reverts to the initial state, in which the counter-transported substrate is released into the cytosol."" [PMID:18075584, PMID:25918123]",59,724,11,24541,0.015193370165745856,0.1864406779661017,query_1,['GO:0042626']
GO:BP,GO:0055085,transmembrane transport,0.00040057360209969626,True,"""The process in which a solute is transported across a lipid bilayer, from one side of a membrane to the other."" [GOC:dph, GOC:jid]",1775,667,92,21641,0.13793103448275862,0.051830985915492955,query_1,"['GO:0006810', 'GO:0009987']"
GO:MF,GO:0042887,amide transmembrane transporter activity,0.0005646735884558232,True,"""Enables the transfer of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, from one side of a membrane to the other."" [GOC:jl, ISBN:0198506732]",61,724,11,24541,0.015193370165745856,0.18032786885245902,query_1,['GO:0022857']
GO:BP,GO:0050790,regulation of catalytic activity,0.0007544615332595732,True,"""Any process that modulates the activity of an enzyme."" [GOC:ai, GOC:ebc, GOC:vw]",151,667,18,21641,0.026986506746626688,0.11920529801324503,query_1,['GO:0065009']
GO:MF,GO:0022804,active transmembrane transporter activity,0.0008004391712694171,True,"""Enables the transfer of a specific substance or related group of substances from one side of a membrane to the other, up the solute's concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction."" [GOC:mtg_transport, ISBN:0815340729]",743,724,46,24541,0.06353591160220995,0.06191117092866756,query_1,['GO:0022857']
GO:MF,GO:0080115,myosin XI tail binding,0.0008291014478725286,True,"""Binding to the tail region of a myosin XI heavy chain."" [PMID:18703495]",22,724,7,24541,0.009668508287292817,0.3181818181818182,query_1,['GO:0032029']
GO:MF,GO:0032036,myosin heavy chain binding,0.0008291014478725286,True,"""Binding to a heavy chain of a myosin complex."" [GOC:mah]",22,724,7,24541,0.009668508287292817,0.3181818181818182,query_1,['GO:0017022']
GO:MF,GO:0032029,myosin tail binding,0.0008291014478725286,True,"""Binding to the tail region of a myosin heavy chain."" [GOC:mah]",22,724,7,24541,0.009668508287292817,0.3181818181818182,query_1,['GO:0032036']
GO:MF,GO:0015291,secondary active transmembrane transporter activity,0.0008656351560099605,True,"""Enables the transfer of a solute from one side of a membrane to the other, up its concentration gradient. The transporter binds the solute and undergoes a series of conformational changes. Transport works equally well in either direction and is driven by a chemiosmotic source of energy, not direct ATP coupling. Secondary active transporters include symporters and antiporters."" [GOC:mtg_transport, ISBN:0198506732, ISBN:0815340729, PMID:10839820]",372,724,29,24541,0.04005524861878453,0.07795698924731183,query_1,['GO:0022804']
GO:MF,GO:0016829,lyase activity,0.0009039974427045087,True,"""Catalysis of the cleavage of C-C, C-O, C-N and other bonds by other means than by hydrolysis or oxidation, or conversely adding a group to a double bond. They differ from other enzymes in that two substrates are involved in one reaction direction, but only one in the other direction. When acting on the single substrate, a molecule is eliminated and this generates either a new double bond or a new ring."" [EC:4.-.-.-]",609,724,40,24541,0.055248618784530384,0.06568144499178982,query_1,['GO:0003824']
GO:BP,GO:0035672,oligopeptide transmembrane transport,0.0010122846266011102,True,"""The process in which an oligopeptide is transported across a membrane. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages."" [GOC:vw, ISBN:0198506732]",47,667,10,21641,0.014992503748125937,0.2127659574468085,query_1,"['GO:0006857', 'GO:0055085']"
GO:MF,GO:0017022,myosin binding,0.0021632732333824864,True,"""Binding to a myosin; myosins are any of a superfamily of molecular motor proteins that bind to actin and use the energy of ATP hydrolysis to generate force and movement along actin filaments."" [GOC:mah]",25,724,7,24541,0.009668508287292817,0.28,query_1,['GO:0008092']
GO:BP,GO:0065009,regulation of molecular function,0.0022978073853757303,True,"""Any process that modulates the frequency, rate or extent of a molecular function, an elemental biological activity occurring at the molecular level, such as catalysis or binding."" [GOC:isa_complete]",163,667,18,21641,0.026986506746626688,0.11042944785276074,query_1,['GO:0065007']
GO:BP,GO:0006857,oligopeptide transport,0.0038248324359751213,True,"""The directed movement of oligopeptides into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages."" [ISBN:0198506732]",66,667,11,21641,0.01649175412293853,0.16666666666666666,query_1,['GO:0015833']
GO:BP,GO:0015833,peptide transport,0.0038248324359751213,True,"""The directed movement of peptides, compounds of two or more amino acids where the alpha carboxyl group of one is bound to the alpha amino group of another, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:ai]",66,667,11,21641,0.01649175412293853,0.16666666666666666,query_1,['GO:0042886']
GO:BP,GO:0030036,actin cytoskeleton organization,0.003955928524221319,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments and their associated proteins."" [GOC:dph, GOC:jl, GOC:mah]",153,667,17,21641,0.025487256371814093,0.1111111111111111,query_1,"['GO:0007010', 'GO:0030029']"
GO:BP,GO:0030837,negative regulation of actin filament polymerization,0.004247869769293026,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of actin polymerization."" [GOC:mah]",24,667,7,21641,0.010494752623688156,0.2916666666666667,query_1,"['GO:0030041', 'GO:0030833', 'GO:0032272', 'GO:0051494', 'GO:1902904']"
GO:BP,GO:0031333,negative regulation of protein-containing complex assembly,0.004247869769293026,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of protein complex assembly."" [GOC:mah]",24,667,7,21641,0.010494752623688156,0.2916666666666667,query_1,"['GO:0043254', 'GO:0051129', 'GO:0065003']"
GO:BP,GO:0032272,negative regulation of protein polymerization,0.004247869769293026,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the process of creating protein polymers."" [GOC:mah]",24,667,7,21641,0.010494752623688156,0.2916666666666667,query_1,"['GO:0031333', 'GO:0032271', 'GO:0051258']"
GO:BP,GO:0051234,establishment of localization,0.004523338402130587,True,"""Any process that localizes a substance or cellular component. This may occur via movement, tethering or selective degradation."" [GOC:ai, GOC:dos]",3411,667,148,21641,0.22188905547226387,0.043389035473468195,query_1,['GO:0051179']
GO:MF,GO:0008092,cytoskeletal protein binding,0.004996233704194512,True,"""Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton)."" [GOC:mah]",517,724,34,24541,0.04696132596685083,0.06576402321083172,query_1,['GO:0005515']
GO:BP,GO:0055080,monoatomic cation homeostasis,0.005351184786065042,True,"""Any process involved in the maintenance of an internal steady state of monoatomic cations within an organism or cell. Monatomic cations (also called simple cations) are cations consisting of exactly one atom."" [GOC:ceb, GOC:jid, GOC:mah]",190,667,19,21641,0.02848575712143928,0.1,query_1,['GO:0050801']
GO:BP,GO:0050801,monoatomic ion homeostasis,0.005596459100095078,True,"""Any process involved in the maintenance of an internal steady state of monoatomic ions within an organism or cell. Monatomic ions (also called simple ions) are ions consisting of exactly one atom."" [GOC:ai]",208,667,20,21641,0.029985007496251874,0.09615384615384616,query_1,['GO:0048878']
GO:CC,GO:0005615,extracellular space,0.005633869101583677,True,"""That part of a multicellular organism outside the cells proper, usually taken to be outside the plasma membranes, and occupied by fluid."" [ISBN:0198547684]",102,589,12,20617,0.02037351443123939,0.11764705882352941,query_1,"['GO:0005576', 'GO:0110165']"
GO:BP,GO:1902904,negative regulation of supramolecular fiber organization,0.0057434315961353306,True,"""Any process that stops, prevents or reduces the frequency, rate or extent of fibril organization."" [GO_REF:0000058, GOC:PARL, GOC:rl, GOC:TermGenie, PMID:23921388]",25,667,7,21641,0.010494752623688156,0.28,query_1,"['GO:0051129', 'GO:0097435', 'GO:1902903']"
GO:BP,GO:0051494,negative regulation of cytoskeleton organization,0.0057434315961353306,True,"""Any process that stops, prevents, or reduces the frequency, rate or extent of the formation, arrangement of constituent parts, or disassembly of cytoskeletal structures."" [GOC:ai]",25,667,7,21641,0.010494752623688156,0.28,query_1,"['GO:0007010', 'GO:0010639', 'GO:0051493']"
GO:BP,GO:0007015,actin filament organization,0.007445525342240435,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of cytoskeletal structures comprising actin filaments. Includes processes that control the spatial distribution of actin filaments, such as organizing filaments into meshworks, bundles, or other structures, as by cross-linking."" [GOC:mah]",144,667,16,21641,0.0239880059970015,0.1111111111111111,query_1,"['GO:0030036', 'GO:0097435']"
GO:MF,GO:0015293,symporter activity,0.008346671484142325,True,"""Enables the active transport of a solute across a membrane by a mechanism whereby two or more species are transported together in the same direction in a tightly coupled process not directly linked to a form of energy other than chemiosmotic energy."" [GOC:mtg_transport, ISBN:0815340729, PMID:10839820]",110,724,13,24541,0.017955801104972375,0.11818181818181818,query_1,['GO:0015291']
GO:BP,GO:0030029,actin filament-based process,0.010033802196197525,True,"""Any cellular process that depends upon or alters the actin cytoskeleton, that part of the cytoskeleton comprising actin filaments and their associated proteins."" [GOC:mah]",164,667,17,21641,0.025487256371814093,0.10365853658536585,query_1,['GO:0009987']
GO:BP,GO:0051179,localization,0.01055993015244545,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",3522,667,150,21641,0.22488755622188905,0.04258943781942078,query_1,['GO:0008150']
GO:BP,GO:0006810,transport,0.013219712167486571,True,"""The directed movement of substances (such as macromolecules, small molecules, ions) or cellular components (such as complexes and organelles) into, out of or within a cell, or between cells, or within a multicellular organism by means of some agent such as a transporter or a transporter complex, a pore or a motor protein."" [GOC:dos, GOC:dph, GOC:jl, GOC:mah]",3281,667,141,21641,0.21139430284857572,0.04297470283450168,query_1,['GO:0051234']
GO:MF,GO:0051119,sugar transmembrane transporter activity,0.01336710876541357,True,"""Enables the transfer of a sugar from one side of a membrane to the other. A sugar is any member of a class of sweet, water-soluble, crystallizable carbohydrates, which are the monosaccharides and smaller oligosaccharides."" [GOC:ai, GOC:mtg_transport, ISBN:0815340729]",56,724,9,24541,0.012430939226519336,0.16071428571428573,query_1,['GO:0015144']
GO:BP,GO:0046777,protein autophosphorylation,0.013571050644049232,True,"""The phosphorylation by a protein of one or more of its own amino acid residues (cis-autophosphorylation), or residues on an identical protein (trans-autophosphorylation)."" [ISBN:0198506732]",75,667,11,21641,0.01649175412293853,0.14666666666666667,query_1,['GO:0006468']
GO:BP,GO:0098660,inorganic ion transmembrane transport,0.013644374346662932,True,"""The process in which an inorganic ion is transported across a membrane."" [GOC:mah]",547,667,36,21641,0.053973013493253376,0.06581352833638025,query_1,['GO:0055085']
GO:BP,GO:0098662,inorganic cation transmembrane transport,0.014398250516671419,True,"""A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore."" [GOC:mah]",483,667,33,21641,0.049475262368815595,0.06832298136645963,query_1,['GO:0098660']
GO:MF,GO:0051015,actin filament binding,0.017944846082434563,True,"""Binding to an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."" [ISBN:0198506732]",102,724,12,24541,0.016574585635359115,0.11764705882352941,query_1,"['GO:0003779', 'GO:0044877']"
GO:MF,GO:0070064,proline-rich region binding,0.018120716006715224,True,"""Binding to a proline-rich region, i.e. a region that contains a high proportion of proline residues, in a protein."" [GOC:mah]",8,724,4,24541,0.0055248618784530384,0.5,query_1,['GO:0005515']
GO:BP,GO:0098655,monoatomic cation transmembrane transport,0.020962462373397862,True,"""The process in which a monoatomic cation is transported across a membrane. Monatomic cations (also called simple cations) are positively charged ions consisting of exactly one atom."" [GOC:dos, GOC:vw]",514,667,34,21641,0.050974512743628186,0.06614785992217899,query_1,"['GO:0006812', 'GO:0034220']"
GO:BP,GO:0042989,sequestering of actin monomers,0.022018706942393516,True,"""The selective interaction of actin monomers with specific molecules that inhibit their polymerization by preventing their access to other monomers."" [GOC:go_curators]",7,667,4,21641,0.005997001499250375,0.5714285714285714,query_1,"['GO:0030837', 'GO:0032507']"
GO:MF,GO:0019829,ATPase-coupled monoatomic cation transmembrane transporter activity,0.022974541211114922,True,"""Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + cation(out) = ADP + phosphate + cation(in)."" [GOC:ai]",121,724,13,24541,0.017955801104972375,0.10743801652892562,query_1,"['GO:0008324', 'GO:0022853', 'GO:0042626']"
GO:MF,GO:0015144,carbohydrate transmembrane transporter activity,0.02335810711346012,True,"""Enables the transfer of carbohydrate from one side of a membrane to the other."" [GOC:jl, GOC:mtg_transport, ISBN:0815340729]",89,724,11,24541,0.015193370165745856,0.12359550561797752,query_1,['GO:0022857']
GO:MF,GO:0004683,calcium/calmodulin-dependent protein kinase activity,0.023484936098702634,True,"""Calmodulin-dependent catalysis of the reactions: ATP + a protein serine = ADP + protein serine phosphate; and ATP + a protein threonine = ADP + protein threonine phosphate. This activity require the presence of calcium-bound calmodulin."" [GOC:mah, PMID:11264466]",60,724,9,24541,0.012430939226519336,0.15,query_1,['GO:0004674']
GO:BP,GO:0032535,regulation of cellular component size,0.023735522610285588,True,"""A process that modulates the size of a cellular component."" [GOC:mah]",53,667,9,21641,0.013493253373313344,0.16981132075471697,query_1,"['GO:0016043', 'GO:0090066']"
GO:BP,GO:0090066,regulation of anatomical structure size,0.023735522610285588,True,"""Any process that modulates the size of an anatomical structure."" [GOC:dph, GOC:tb]",53,667,9,21641,0.013493253373313344,0.16981132075471697,query_1,['GO:0065008']
GO:MF,GO:0008553,P-type proton-exporting transporter activity,0.026810319520921985,True,"""Enables the transfer of protons from one side of a membrane to the other according to the reaction: ATP + H2O + H+(in) = ADP + phosphate + H+(out). These transporters use a phosphorylative mechanism, which have a phosphorylated intermediate state during the ion transport cycle."" [RHEA:20852]",25,724,6,24541,0.008287292817679558,0.24,query_1,"['GO:0015078', 'GO:0015662', 'GO:0019829']"
GO:MF,GO:0009931,calcium-dependent protein serine/threonine kinase activity,0.02683677944210933,True,"""Calcium-dependent catalysis of the reactions: ATP + a protein serine = ADP + protein serine phosphate; and ATP + a protein threonine = ADP + protein threonine phosphate."" [GOC:mah]",61,724,9,24541,0.012430939226519336,0.14754098360655737,query_1,['GO:0004674']
GO:MF,GO:0003785,actin monomer binding,0.03185459468967375,True,"""Binding to monomeric actin, also known as G-actin."" [GOC:ai]",9,724,4,24541,0.0055248618784530384,0.4444444444444444,query_1,['GO:0003779']
GO:BP,GO:0042886,amide transport,0.03579475561575729,True,"""The directed movement of an amide, any compound containing one, two, or three acyl groups attached to a nitrogen atom, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore."" [GOC:jl, ISBN:0198506732]",83,667,11,21641,0.01649175412293853,0.13253012048192772,query_1,['GO:0071705']
GO:MF,GO:0004714,transmembrane receptor protein tyrosine kinase activity,0.03845883688101065,True,"""Combining with a signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate."" [EC:2.7.10.1, GOC:mah]",17,724,5,24541,0.006906077348066298,0.29411764705882354,query_1,"['GO:0004713', 'GO:0019199']"
