number for sorting purposes,protein name,family,gene ID,synonym,clone,all gene IDs,subgenome
10095,ZmEREB36,AP2/ERF-AP2,Zm00001eb318890,ZmERFAP2_46,pUT5414,Zm00001eb318890 GRMZM2G069082 Zm00001d021205,1
10098,ZmEREB39,AP2/ERF-AP2,Zm00001eb384720,ZmERFAP2_72,pUT4561,Zm00001eb384720 GRMZM2G073047 Zm00001d046292,1
10100,ZmEREB41,AP2/ERF-AP2,Zm00001eb117830,ZmERFAP2_73,,Zm00001eb117830 Zm00001d007840 Zm00001eb117840 GRMZM2G146688,2
10105,ZmEREB46,AP2/ERF-AP2,Zm00001eb235640,ZmERFAP2_45,pUT5790,GRMZM2G085678 Zm00001eb235640 Zm00001d015759,1
10106,ZmEREB47,AP2/ERF-AP2,Zm00001eb068530,ZmERFAP2_47,pUT5971,Zm00001eb068530 Zm00001d002079 GRMZM2G174917,
10108,ZmEREB49,AP2/ERF-AP2,Zm00001eb342850,ZmERFAP2_48,pUT4681,Zm00001d009468 GRMZM2G159592 Zm00001eb342850,2
10112,ZmEREB53,AP2/ERF-AP2,Zm00001eb144510,ZmERFAP2_42,pUT4568,Zm00001d042492 Zm00001eb144510 GRMZM2G141638,1
10114,ZmEREB55,AP2/ERF-AP2,Zm00001eb387280,ZmERFAP2_7,pUT3487,Zm00001d046621 GRMZM2G160730 Zm00001eb387280,1
10118,ZmEREB59,AP2/ERF-AP2,Zm00001eb168540,ZmERFAP2_84,pUT5611,GRMZM5G837876 Zm00001eb168540 Zm00001d049058,
10121,ZmEREB62,AP2/ERF-AP2,Zm00001eb107500,ZmERFAP2_12,pUT5588,GRMZM2G011236 Zm00001d006653 Zm00001eb107500,2
10122,ZmEREB63,AP2/ERF-AP2,Zm00001eb145470,ZmERFAP2_85,pUT5603,GRMZM2G307152 Zm00001eb145470 Zm00001d042593,
10125,ZmEREB66,AP2/ERF-AP2,Zm00001eb249450,ZmERFAP2_62,,Zm00001eb249450 Zm00001d017478 GRMZM2G041839,1
10130,ZmEREB71,AP2/ERF-AP2,Zm00001eb401290,ZmERFAP2_65,pUT5410,GRMZM2G113060 Zm00001eb401290 Zm00001d048208,2
10136,ZmEREB77,AP2/ERF-AP2,Zm00001eb150000,ZmERFAP2_37,,GRMZM2G451031 Zm00001d043116 Zm00001eb150000,1
10140,ZmEREB81,AP2/ERF-AP2,Zm00001eb265610,ZmERFAP2_3,pUT6405,Zm00001d035512 Zm00001eb265610 GRMZM2G416701,1
10141,ZmEREB82,AP2/ERF-AP2,Zm00001eb302890,ZmERFAP2_53,pUT5589,Zm00001d019116 Zm00001eb302890 GRMZM2G019443,1
10142,ZmEREB83,AP2/ERF-AP2,Zm00001eb369560,ZmERFAP2_75,pUT6789,Zm00001eb369560 Zm00001d012585 GRMZM2G132185,
10151,ZmEREB92,AP2/ERF-AP2,Zm00001eb352580,ZmERFAP2_2,pUT6815,GRMZM2G174347 Zm00001eb352580 Zm00001d000339,
10155,ZmEREB96,AP2/ERF-AP2,Zm00001eb338940,ZmERFAP2_8,pUT5375,Zm00001d008968 Zm00001eb338940 GRMZM2G044077,2
10162,ZmEREB103,AP2/ERF-AP2,Zm00001eb120590,ZmERFAP2_35,pUT4560,GRMZM2G133168 Zm00001d039424 Zm00001eb120590,
10163,ZmEREB104,AP2/ERF-AP2,Zm00001eb249470,ZmERFAP2_11,pUT6413,Zm00001eb249470 Zm00001d017480 GRMZM5G816314,
10164,ZmEREB105,AP2/ERF-AP2,Zm00001eb073550,ZmERFAP2_83,,GRMZM2G042756 Zm00001d002618 Zm00001eb073550,1
10168,ZmEREB109,AP2/ERF-AP2,Zm00001eb311180,ZmERFAP2_74,pUT5789,Zm00001eb311180 Zm00001d020267 GRMZM2G141679,1
10169,ZmEREB110,AP2/ERF-AP2,Zm00001eb355240,ZmERFAP2_22,,GRMZM2G700665 Zm00001eb355240 Zm00001d010987 Zm00001d010988,2
10173,ZmEREB114,AP2/ERF-AP2,Zm00001eb299300,ZmERFAP2_9,pUT6489,GRMZM2G008234 Zm00001d018731 Zm00001eb299300,1
10176,ZmEREB117,AP2/ERF-AP2,Zm00001eb356440,ZmERFAP2_1,pUT4569,Zm00001eb356440 GRMZM2G113078 Zm00001d011134,
10181,ZmEREB122,AP2/ERF-AP2,Zm00001eb375580,ZmERFAP2_82,pUT6306,Zm00001d045204 GRMZM2G301860 Zm00001eb375580,1
10186,ZmEREB127,AP2/ERF-AP2,Zm00001eb187190,ZmERFAP2_60,pUT5642,Zm00001eb187190 GRMZM2G000520 Zm00001d051451,2
10187,ZmEREB128,AP2/ERF-AP2,Zm00001eb305780,ZmERFAP2_68,pUT5641,AC233933.1_FG001 Zm00001d019475 Zm00001eb305780,
10189,ZmEREB130,AP2/ERF-AP2,Zm00001eb005740,ZmERFAP2_39,pUT3175,GRMZM2G399072 Zm00001d027878 Zm00001eb005740,1
10192,ZmEREB133,AP2/ERF-AP2,Zm00001eb289170,ZmERFAP2_41,pUT5960,GRMZM2G100727 Zm00001d038320 Zm00001eb289170,
10198,ZmEREB139,AP2/ERF-AP2,Zm00001eb255860,ZmERFAP2_57,pUT6270,Zm00001d018158 GRMZM2G103085 Zm00001eb255860,1
10200,ZmEREB141,AP2/ERF-AP2,Zm00001eb139970,ZmERFAP2_89,pUT5598,Zm00001d041981 GRMZM2G097182 Zm00001eb139970,1
10202,ZmEREB143,AP2/ERF-AP2,Zm00001eb313350,ZmERFAP2_23,pUT5448,Zm00001d020540 Zm00001eb313350 Zm00001eb313340 GRMZM2G141219,1
10203,ZmEREB144,AP2/ERF-AP2,Zm00001eb239430,ZmERFAP2_49,pUT3486,Zm00001d016260 GRMZM2G005301 Zm00001eb239430,
10205,ZmEREB146,AP2/ERF-AP2,Zm00001eb343790,ZmERFAP2_88,pUT5590,Zm00001d009573 Zm00001eb343790 GRMZM2G021790,2
10206,ZmEREB147,AP2/ERF-AP2,Zm00001eb150840,ZmERFAP2_54,pUT4161,Zm00001eb150840 GRMZM2G310368 Zm00001d043205,
10209,ZmEREB150,AP2/ERF-AP2,Zm00001eb035490,ZmERFAP2_33,pUT5373,GRMZM2G033656 Zm00001eb035490 Zm00001d031501,1
10211,ZmEREB152,AP2/ERF-AP2,Zm00001eb389400,ZmERFAP2_10,pUT5344,GRMZM2G139082 Zm00001eb389400 Zm00001d046913,1
10215,ZmEREB156,AP2/ERF-AP2,Zm00001eb432090,ZmERFAP2_17,pUT6406,Zm00001d026447 GRMZM2G421033 Zm00001eb432090,
10216,ZmEREB157,AP2/ERF-AP2,Zm00001eb244060,ZmERFAP2_28,,Zm00001eb244060 GRMZM2G087040 Zm00001d016848,1
10220,ZmEREB161,AP2/ERF-AP2,Zm00001eb399440,ZmERFAP2_6,pUT5415,GRMZM2G021573 Zm00001d048004 Zm00001eb399440,2
10221,ZmEREB162,AP2/ERF-AP2,Zm00001eb294830,ZmERFAP2_58,,Zm00001eb294830 Zm00001d038907 GRMZM2G059939,1
10222,ZmEREB163,AP2/ERF-AP2,Zm00001eb415010,ZmERFAP2_21,pUT6744,Zm00001d024468 Zm00001eb415010 GRMZM2G022359,1
10224,ZmEREB165,AP2/ERF-AP2,Zm00001eb295930,ZmERFAP2_71,pUT5649,Zm00001d039019 GRMZM2G317596 Zm00001eb295930,1
10230,ZmEREB171,AP2/ERF-AP2,Zm00001eb287100,ZmERFAP2_4,pUT5452,Zm00001d038087 Zm00001eb287100 GRMZM2G013657,1
10232,ZmEREB173,AP2/ERF-AP2,Zm00001eb398110,ZmERFAP2_18,pUT5587,Zm00001eb398110 Zm00001d047860 GRMZM2G007406,2
10238,ZmEREB179,AP2/ERF-AP2,Zm00001eb006160,ZmERFAP2_55,pUT5408,Zm00001d027924 GRMZM2G129674 Zm00001eb006160,1
10243,ZmEREB184,AP2/ERF-AP2,Zm00001eb058850,ZmERFAP2_15,pUT5752,GRMZM2G028151 Zm00001eb058850 Zm00001d034204,1
10245,ZmEREB186,AP2/ERF-AP2,Zm00001eb338000,ZmERFAP2_59,,Zm00001d008872 AC187157.4_FG001 Zm00001eb338000,
10246,ZmEREB187,AP2/ERF-AP2,Zm00001eb254860,ZmERFAP2_5,,Zm00001eb254860 GRMZM2G130459 Zm00001d018050,1
10247,ZmEREB188,AP2/ERF-AP2,Zm00001eb021440,ZmERFAP2_19,,GRMZM2G477287 Zm00001eb021440 Zm00001d029679,1
10248,ZmEREB189,AP2/ERF-AP2,Zm00001eb307600,ZmERFAP2_29,pUT5378,Zm00001d019744 Zm00001eb307600 GRMZM2G060517,1
10254,ZmEREB195,AP2/ERF-AP2,Zm00001eb249290,ZmERFAP2_91,pUT5653,GRMZM2G466044 Zm00001eb249290 Zm00001d017462,
10256,ZmEREB197,AP2/ERF-AP2,Zm00001eb068520,ZmERFAP2_30,pUT4143,Zm00001d002075 GRMZM2G174784 Zm00001eb068520,1
10257,ZmEREB198,AP2/ERF-AP2,Zm00001eb074930,ZmERFAP2_14,pUT5377,Zm00001eb074930 Zm00001d002762 GRMZM2G055180,
10260,ZmEREB201,AP2/ERF-AP2,Zm00001eb325250,ZmERFAP2_36,pUT3215,Zm00001eb325250 GRMZM2G384386 Zm00001eb325260 Zm00001d021892,1
10265,ZmEREB206,AP2/ERF-AP2,Zm00001eb247080,ZmERFAP2_63,pUT4411,GRMZM2G366434 Zm00001d017207 Zm00001eb247080,1
10267,ZmEREB208,AP2/ERF-AP2,Zm00001eb157950,ZmERFAP2_13,pUT5447,GRMZM2G160971 Zm00001eb157950 Zm00001d044004 Zm00001eb157940,1
10269,ZmEREB210,AP2/ERF-AP2,Zm00001eb110290,ZmERFAP2_38,pUT5647,Zm00001d007033 GRMZM2G125460 Zm00001eb110290,
10289,ZmEREB230,AP2/ERF-AP2,Zm00001eb429790,ZmERFAP2_24,,Zm00001eb429790 Zm00001d026182,
10290,ZmEREB231,AP2/ERF-AP2,Zm00001eb441240,ZmERFAP2_27,,Zm00001eb441240,
10291,ZmEREB232,AP2/ERF-AP2,Zm00001eb360750,ZmERFAP2_43,pUT5977,GRMZM2G065538 Zm00001eb360750 Zm00001d011639,2
10292,ZmEREB233,AP2/ERF-AP2,Zm00001eb124740,ZmERFAP2_50,,Zm00001eb124740 Zm00001d039907,
10293,ZmEREB234,AP2/ERF-AP2,Zm00001eb005820,ZmERFAP2_51,,GRMZM5G855347 Zm00001eb005820 Zm00001d027884,
10294,ZmEREB235,AP2/ERF-AP2,Zm00001eb289400,ZmERFAP2_70,,GRMZM2G067036 Zm00001eb289400 Zm00001d038343,1
10295,ZmEREB236,AP2/ERF-AP2,Zm00001eb007390,ZmERFAP2_76,,Zm00001d028069 Zm00001eb007390 Zm00001eb007410 GRMZM2G461905 Zm00001eb007400,
10296,ZmEREB237,AP2/ERF-AP2,Zm00001eb386280,ZmERFAP2_78,,Zm00001eb386280 Zm00001d046501,
10297,ZmEREB238,AP2/ERF-AP2,Zm00001eb186380,ZmERFAP2_80,,GRMZM2G319786 Zm00001eb186380 Zm00001d051340,
10298,ZmEREB239,AP2/ERF-AP2,Zm00001eb198550,ZmERFAP2_81,,Zm00001eb198550 Zm00001d052732,
10299,ZmEREB240,AP2/ERF-AP2,Zm00001eb423100,ZmERFAP2_90,,Zm00001eb423100 GRMZM2G424348 Zm00001d025477,2
20001,ZmEREB1,AP2/ERF-ERF,Zm00001eb391190,EREB1,pUT3454,Zm00001eb391190 GRMZM5G889719 Zm00001d000179 Zm00001eb391180,
20006,ZmEREB6,AP2/ERF-ERF,Zm00001eb074730,EREB6,,GRMZM2G172936 Zm00001d002744 Zm00001eb074730,1
20008,ZmEREB8,AP2/ERF-ERF,Zm00001eb206360,EREB8,pUT4565,Zm00001eb206360 GRMZM2G146028 Zm00001d053707,2
20009,ZmEREB9,AP2/ERF-ERF,Zm00001eb282240,EREB9,,GRMZM2G323172 Zm00001d037531 Zm00001eb282240,
20017,ZmEREB17,AP2/ERF-ERF,Zm00001eb194220,EREB17,pUT3212,GRMZM2G029323 Zm00001eb194220 Zm00001d052229,2
20018,ZmEREB18,AP2/ERF-ERF,Zm00001eb255160,EREB18,,Zm00001d018081 GRMZM2G055204 Zm00001eb255160,1
20019,ZmEREB19,AP2/ERF-ERF,Zm00001eb273390,EREB19,pUT5409,GRMZM2G175543 Zm00001d036536 Zm00001eb273390,
20020,ZmEREB20,AP2/ERF-ERF,Zm00001eb195920,WRI2,,GRMZM2G174834 Zm00001d052405 Zm00001eb195920,1
20022,ZmEREB22,AP2/ERF-ERF,Zm00001eb347600,EREB22,pUT4073,Zm00001eb347600 Zm00001d010048 GRMZM2G006745,
20023,ZmEREB23,AP2/ERF-ERF,Zm00001eb318900,EREB23,pUT4676,Zm00001eb318900 Zm00001d021207 GRMZM2G069126,1
20025,ZmEREB25,AP2/ERF-ERF,Zm00001eb271520,EREB25,pUT4680,GRMZM2G119865 Zm00001d036298 Zm00001eb271520,2
20027,ZmEREB27,AP2/ERF-ERF,Zm00001eb279090,EREB27,,GRMZM2G084264 Zm00001d037165 Zm00001eb279090,2
20028,ZmEREB28,AP2/ERF-ERF,Zm00001eb407760,EREB28,,GRMZM2G544539 Zm00001d023535 Zm00001eb407760,
20029,ZmEREB29,AP2/ERF-ERF,Zm00001eb369550,EREB29,pUT4412,Zm00001d012584 Zm00001eb369550 GRMZM2G132223,
20031,ZmEREB31,AP2/ERF-ERF,Zm00001eb372660,EREB31,pUT4413,GRMZM5G852704 Zm00001d044857 Zm00001eb372660,
20037,ZmEREB37,AP2/ERF-ERF,Zm00001eb232560,EREB37,,Zm00001eb232560 GRMZM2G322672,
20038,ZmEREB38,AP2/ERF-ERF,Zm00001eb005650,EREB38,pUT5967,GRMZM2G419901 Zm00001d027870 Zm00001eb005650,
20040,ZmEREB40,AP2/ERF-ERF,,EREB40,,GRMZM2G164591,2
20042,ZmEREB42,AP2/ERF-ERF,Zm00001eb291720,EREB42,pUT4566,GRMZM2G020016 Zm00001eb291720 Zm00001d038584,
20043,ZmEREB43,AP2/ERF-ERF,Zm00001eb112060,EREB43,,Zm00001d007237 GRMZM2G399598 Zm00001eb112060 Zm00001eb112070 Zm00001d007236,
20044,ZmEREB44,AP2/ERF-ERF,Zm00001eb023210,EREB44,,GRMZM5G806839 Zm00001d029884 Zm00001eb023210,
20045,ZmEREB45,AP2/ERF-ERF,Zm00001eb067800,EREB45,pUT4414,GRMZM2G067463 Zm00001d002011 Zm00001eb067800,1
20048,ZmEREB48,AP2/ERF-ERF,Zm00001eb402040,EREB48,pUT4684,Zm00001d048296 GRMZM2G376255 Zm00001eb402040 Zm00001eb402030,
20050,ZmEREB50,AP2/ERF-ERF,Zm00001eb119540,EREB50,pUT4567,Zm00001eb119540 Zm00001d039324 GRMZM2G142179,1
20051,ZmEREB51,AP2/ERF-ERF,Zm00001eb414830,EREB51,,GRMZM2G055070 Zm00001d024436 Zm00001eb414830,1
20052,ZmEREB52,AP2/ERF-ERF,Zm00001eb145420,EREB52,pUT5970,Zm00001d042588 Zm00001eb145420 GRMZM2G105266,
20054,ZmEREB54,AP2/ERF-ERF,Zm00001eb413930,EREB54,pUT6542,GRMZM2G020054 Zm00001d024324 Zm00001eb413930,1
20056,ZmEREB56,AP2/ERF-ERF,Zm00001eb269420,DBP4,pUT6401,Zm00001eb269420 GRMZM2G380377 Zm00001d036003,2
20057,ZmEREB57,AP2/ERF-ERF,Zm00001eb193060,EREB57,,GRMZM2G097081 Zm00001d052102 Zm00001eb193060,2
20058,ZmEREB58,AP2/ERF-ERF,Zm00001eb065180,EREB58,pUT4194,Zm00001eb065180 Zm00001d034920 Zm00001eb065170 GRMZM2G381441,1
20060,ZmEREB60,AP2/ERF-ERF,Zm00001eb041070,EREB60,pUT6488,Zm00001d032144 Zm00001eb041070 GRMZM2G131266,1
20061,ZmEREB61,AP2/ERF-ERF,Zm00001eb074900,EREB61,pUT5385,Zm00001eb074900 GRMZM2G475678 Zm00001d002760,
20064,ZmEREB64,AP2/ERF-ERF,Zm00001eb303690,EREB64,pUT6301,Zm00001eb303690 GRMZM2G472052 Zm00001eb303680 Zm00001d019215 GRMZM2G171569 Zm00001d019216,
20065,ZmEREB65,AP2/ERF-ERF,Zm00001eb103110,EREB65,pUT5646,GRMZM2G124011 Zm00001d006170 Zm00001eb103110,2
20067,ZmEREB67,AP2/ERF-ERF,Zm00001eb393510,EREB67,,GRMZM2G114820 Zm00001d047339 Zm00001eb393510,
20068,ZmEREB68,AP2/ERF-ERF,Zm00001eb073560,EREB68,pUT6312,GRMZM2G368838 Zm00001d002620 Zm00001eb073560,1
20069,ZmEREB69,AP2/ERF-ERF,Zm00001eb285760,EREB69,pUT1602,Zm00001eb285760 GRMZM2G085964 Zm00001d037941,1
20070,ZmEREB70,AP2/ERF-ERF,,EREB70,,AC213666.3_FG003 Zm00001d049309,
