""	"specie"	"quality"	"tissue_abv"	"rep"	"location"
"DK105_M_3"	"DK105"	0	"Msphy"	3	"mesophyll"
"DK105_M_4"	"DK105"	0	"Msphy"	4	"mesophyll"
"DK105_MAT_1"	"DK105"	0	"Le5M"	1	"Leaf 5 mature"
"DK105_MAT_2"	"DK105"	0	"Le5M"	2	"Leaf 5 mature"
"DK105_MAT_3"	"DK105"	0	"Le5M"	3	"Leaf 5 mature"
"DK105_MAT_4"	"DK105"	0	"Le5M"	4	"Leaf 5 mature"
"DK105_MER_1"	"DK105"	0	"Le5Mer"	1	"Leaf 5 meristem"
"DK105_MER_2"	"DK105"	0	"Le5Mer"	2	"Leaf 5 meristem"
"DK105_MER_3"	"DK105"	0	"Le5Mer"	3	"Leaf 5 meristem"
"DK105_MER_4"	"DK105"	0	"Le5Mer"	4	"Leaf 5 meristem"
"DK105_MZ_1"	"DK105"	0	"RoPrMers"	1	"primary root meristematic zone"
"DK105_MZ_2"	"DK105"	0	"RoPrMers"	2	"primary root meristematic zone"
"DK105_MZ_3"	"DK105"	0	"RoPrMers"	3	"primary root meristematic zone"
"DK105_MZ_4"	"DK105"	0	"RoPrMers"	4	"primary root meristematic zone"
"DK105_PR_1"	"DK105"	0	"RoPr"	1	"primary root"
"DK105_PR_2"	"DK105"	0	"RoPr"	2	"primary root"
"DK105_PR_3"	"DK105"	0	"RoPr"	3	"primary root"
"DK105_PR_4"	"DK105"	0	"RoPr"	4	"primary root"
"DK105_RZ_1"	"DK105"	0	"RoHaZ"	1	"root hair zone"
"DK105_RZ_2"	"DK105"	0	"RoHaZ"	2	"root hair zone"
"DK105_RZ_3"	"DK105"	0	"RoHaZ"	3	"root hair zone"
"DK105_RZ_4"	"DK105"	0	"RoHaZ"	4	"root hair zone"
"DK105_SR_1"	"DK105"	0	"RoSe"	1	"seminal root"
"DK105_SR_2"	"DK105"	0	"RoSe"	2	"seminal root"
"DK105_SR_3"	"DK105"	0	"RoSe"	3	"seminal root"
"DK105_SR_4"	"DK105"	0	"RoSe"	4	"seminal root"
