Function_origin	Module	SFunction_1	SFunction_2	SFunction_3
d3	black	Cell wall organisation.pectin.homogalacturonan	Solute transport.primary active transport.P-type ATPase superfamily	Solute transport.carrier-mediated transport.OPT-type transporter activities
d3	lightcyan	Cell division.cell cycle organisation.metaphase to anaphase transition	DNA damage response.DNA damage sensing and signalling.ATM pathway	Cell division.DNA replication.organelle machinery
d3	tan	Redox homeostasis.reactive oxygen-induced signalling.hydrogen peroxide receptor kinase *(HPCAL1/2/++)	Photosynthesis.calvin cycle.transketolase	Multi-process regulation.Programmed Cell Death (PCD) system.vacuole-mediated cell death
d3	lightyellow	Cell wall organisation.hemicellulose.xylan	Cell wall organisation.lignin.monolignol conjugation and polymerization	RNA homeostasis.post-transcriptional regulator activities.C3H-ZF-type post-transcriptional regulator activity
d3	grey	Protein biosynthesis.ribosome biogenesis.large ribosomal subunit (LSU)	Multi-process regulation.SnRK1-kinase regulatory system.regulatory protein kinase *(GRIK) of SnRK1 complex	Protein biosynthesis.ribosome biogenesis.small ribosomal subunit (SSU)
d3	blue	Protein biosynthesis.ribosome biogenesis.large ribosomal subunit (LSU)	Protein biosynthesis.ribosome biogenesis.small ribosomal subunit (SSU)	Protein biosynthesis.organellar translation machinery.mitochondrial ribosome biogenesis
d3	darkorange	Vesicle trafficking.anterograde trafficking.Coat protein II (COPII) coatomer machinery	Multi-process regulation.14-3-3 regulatory system.14-3-3 phosphoprotein-binding protein *(GRF)	RNA biosynthesis.RNA polymerase II-dependent transcription.transcription co-activation
d3	grey60	RNA processing.tRNA modification.N6-threonylcarbamoyladenosine modification	Cell division.meiotic recombination.meiotic initiation	Protein modification.lipidation.protein de-S-acylation
d3	saddlebrown	Multi-process regulation.Programmed Cell Death (PCD) system.regulatory protein *(CYCLASE)	RNA homeostasis.mRNA surveillance pathways.No-Cap Decay (NCD) pathway	Vesicle trafficking.endocytic trafficking.ESCRT-mediated sorting
d3	darkgreen	Cell wall organisation.cutin and suberin.export	Cell wall organisation.cutin and suberin.cuticular lipid formation	Plant organogenesis.leaf formation.stomata
mercator	lightgreen	regulatory E3 ubiquitin ligase *(HEI10/ZIP3) of meiotic crossover	N-acetyltransferase cohesin cofactor *(CTF7)	non-catalytic component *(RMI1) of RTR Holliday junction dissolution complex
mercator	salmon	subunit beta2 of coat protein complex	component *(EH1/EH2) of TPLATE AP-2 co-adaptor complex	substrate adaptor *(ARIA) of CUL3-based E3 ubiquitin ligase complex
mercator	darkturquoise	subunit alpha of tryptophan synthase complex	alpha-type-2 component *(PAB) of 26S proteasome	regulatory protein *(GPDL6/7) involved in pollen tube growth
mercator	steelblue	carboxypeptidase *(SOL1)	component *(MLH3) of MutLy endonuclease heterodimer	3-hydroxyisobutyrate dehydrogenase *(HDH)
mercator	red	auxin signalling transcriptional co-repressor *(TPL/TPR)	transcriptional co-repressor *(TPL/TPR)	promotor-binding component *(TFC3) of TFIIIc transcription factor complex
mercator	greenyellow	transcription factor *(WRKY)	pyridoxal kinase *(SOS4/SNO1)	cold-responsive protein kinase *(CRPK)
mercator	cyan	iron/zinc cation transporter *(Fe/Zn-CDF)	core adaptor component *(DDB1) of CUL4-based E3 ubiquitin ligase complexes	component *(mL105) of large mitoribosomal-subunit proteome
mercator	magenta	component *(POLD3) of DNA polymerase delta complex	E3 ubiquitin-fold protein ligase *(SP1)	E3 ubiquitin ligase *(SPL)
mercator	brown	MADS/AGL transcription factor	transcriptional regulator *(AP1/CAL/FUL) of floral meristem identity	transcriptional regulator *(SEPALLATA) of floral meristem identity control
mercator	white	histone demethylase *(PKDM7)	malonyl-CoA synthetase *(mtMCS))	molecular co-chaperone *(CJD1)
mercator	royalblue	DNA polymerase eta *(POLH)	MYB class-R2R3 subgroup-7 transcription factor	component *(QCR6) of cytochrome c reductase complex
mercator	turquoise	Sigma transcription initiation factor *(SIG1)	translation peptide chain release factor *(PrfB)	regulatory subunit *(AIP1/3) of acetolactate synthase complex
mercator	darkred	AGC-OTHER protein kinase *(IRE)	ATP synthase complex assembly factor *(BFA1)	ubiquitin-regulated metallopeptidase *(DA1)
mercator	sienna3	MADS/AGL transcription factor	hydroxycinnamoyl-CoA acyltransferase	PLATZ transcription factor
mercator	yellowgreen	component *(ND5/NQO12) of NADH dehydrogenase proton translocation (module P)	regulatory RNA helicase *(RH27/RH51) of miRNA biogenesis pathway	solute transporter *(UmamiT1/2/++)
mercator	paleturquoise	large subunit of TFIIIf transcription factor module	subunit B of V-type ATPase peripheral V1 subcomplex	non-core component *(NDUFS4/18kDa) of NADH dehydrogenase complex
mercator	purple	component *(ArpC3) of Arp2/3 actin polymerization initiation complex	E3 ubiquitin ligase *(SR1)	substrate adaptor *(SKIP35) of SCF E3 ubiquitin ligase complex
mercator	yellow	RLCK-V receptor-like protein kinase	LRR-III protein kinase	regulatory protein *(SHOU4) involved in cellulose synthase trafficking
mercator	skyblue3	rhamnogalacturonan-I endolyase *(RGL)	AS2/LOB transcription factor	triterpenoid synthase
mercator	violet	transcriptional regulator *(ETT) of  floral organ morphogenesis	transcriptional regulator *(ARF3/4)	chaperone involved in signal/tail anchor protein insertion *(AKR2)
mercator	orange	regulatory E3 ubiquitin ligase *(FANCL)	component *(COX5b) of cytochrome c oxidase complex	ornithine carbamoyltransferase *(OTC)
mercator	green	transcriptional regulator *(ATML1) involved in embryo axis formation	AHL clade-A transcription factor	alpha-class expansin
mercator	pink	autophagosome ubiquitin-fold protein *(ATG8)	linker histone *(H1)	component *(Pex14) of cargo-receptor docking complex
mercator	skyblue	component *(CSN8) of COP9 signalosome complex	cell surface multi-copper oxidase *(SKU5)	component *(TRS33) of TRAPP-I/II/III complex-shared components
mercator	darkolivegreen	protein S-acyltransferase	methylation reader component *(MRG1/2) of NuA4 histone acetyltransferase complex	shikimate kinase *(SKL1)
mercator	plum1	transcription factor *(DEL) involved in cell cycle control	cohesin cofactor *(WAPL)	regulatory protein *(NDL1/2/3) of G-protein signalling
mercator	darkmagenta	component *(6kDa/ATP6) of ATP synthase membrane MF0 subcomplex	component *(uS12) of small ribosomal-subunit (SSU) proteome	assembly factor *(SURF1) of cytochrome c oxidase assembly
mercator	midnightblue	nucleotide sugar transporter *(UTR7)	proteasome assembly chaperone PAC4	Kleisin-like bridging component *(NSE4) of homologous recombination repair Smc5-Smc6 complex
mercator	darkgrey	component *(SF3B2) of RNA splicing factor 3B complex	gamma-glutamyl cyclotransferase *(GGCT1/2)	methylglutaconyl-CoA hydratase
mercator	black	pectin methylesterase	RLCK-IXb receptor-like protein kinase	beta-galactosidase *(MUM2)
mercator	lightcyan	siRNA-recruiting factor *(AGO4/6/8/9)	component *(HUS1) of 9-1-1 DNA damage sensor complex	membrane insertase *(OXA2)
mercator	tan	transketolase	hydrogen peroxide receptor kinase *(HPCAL1/2/++)	LRR-VIII-1 protein kinase
mercator	lightyellow	regulatory protein of RNA homeostasis	arabinogalactan protein *(Xylogen)	nucleotide sugar transporter *(URGT/UXT)
mercator	grey	N6-methylated-AMP deaminase *(MAPDA/ADAL)	neoxanthin synthase *(ABA4)	phosphoserine phosphatase
mercator	blue	aminoacyl-tRNA binding factor *(eEF1A))	microtubule plus-end-tracking protein *(EB1)	Kinesin-10-type motor protein
mercator	darkorange	component *(TAF4) of TFIId basal transcription regulation complex	scaffold component *(Sec31) of coat protein complex	component *(PIG-H) of GPI N-acetylglucosamine transferase complex
mercator	grey60	catalytic component *(KAE1) of tRNA N6-threonylcarbamoylation KEOPS/EKC complex	meiotic recombination chromosome axis protein *(ASY3)	E3 ubiquitin ligase *(AIRP2/4)
mercator	saddlebrown	phospholipase-A1 *(PA-PLA1)	component *(MOS2) of MAC spliceosome-associated complex	component *(VPS32/SNF7) of ESCRT-III complex
mercator	darkgreen	LRR-XIIIb protein kinase	EPF-peptide receptor kinase *(ERECTA) involved in stomatal patterning	aldehyde decarbonylase component *(CER1) of CER1-CER3 alkane-forming complex
prot-scriber	lightgreen	exo84 c domain containing protein	replication protein a dna binding subunit b	protein chromosome transmission fidelity
prot-scriber	salmon	coatomer subunit beta 1	serine threonine protein phosphatase 2a kda regulatory subunit a isoform	arath transmembrane superfamily member
prot-scriber	darkturquoise	calcineurin subunit b isoform	pld phosphodiesterase domain containing protein	cral trio n domain containing protein
prot-scriber	steelblue	transposase 23 domain containing protein	duf 588 domain containing protein	s adenosylmethionine decarboxylase proenzyme
prot-scriber	red	isoform topless protein	serine threonine protein phosphatase	b block tfiiic domain containing protein
prot-scriber	greenyellow	wrky domain containing protein	branched chain amino acid aminotransferase 1	psepk pyridoxal kinase
prot-scriber	cyan	dna damage binding protein	multiple rna binding domain containing protein	tubulin folding cofactor b
prot-scriber	magenta	dna polymerase delta subunit	cell division control protein homolog c	copper transporting atpase hma
prot-scriber	brown	k box and mads transcription factor protein	mads box transcription factor	z1a alpha zein protein
prot-scriber	white	co chaperonin groes	arath lysine specific demethylase jmj	skp domain containing protein
prot-scriber	royalblue	myb dna bind 3 domain containing protein	transcription factor myb	dna polymerase eta
prot-scriber	turquoise	peptidylprolyl isomerase	nad p bd dom domain containing protein	rna polymerase sigma factor siga
prot-scriber	darkred	lim zinc binding domain containing protein	microtubule associated serine threonine protein kinase	40s ribosomal protein s4 1
prot-scriber	sienna3	alanine transaminase	omega hydroxypalmitate o feruloyl transferase	expansin b15
prot-scriber	yellowgreen	protein unc homolog a	wat protein	atp dependent rna helicase
prot-scriber	paleturquoise	dna directed rna polymerase iii subunit rpc	v type proton atpase subunit b	wd repeat containing protein 82
prot-scriber	purple	actin protein 2 3 complex subunit	dna directed rna polymerase ii subunit	ankyrin repeat protein skip
prot-scriber	yellow	protein kinase domain containing	proline rich receptor protein kinase perk	ubiquitin specific protease family c19 protein
prot-scriber	skyblue3	rhamnogalacturonan endolyase	duf 1618 domain containing protein	rrna n glycosylase
prot-scriber	violet	arath auxin response factor	tyr phosphatase 2 domain containing protein	sti domain containing protein
prot-scriber	orange	arath fructose bisphosphate aldolase 2	dna polymerase epsilon catalytic subunit	fam domain containing protein
prot-scriber	green	homeobox leucine zipper protein roc	calcium and calmodulin dependent serine threonine protein kinase	germin protein member
prot-scriber	pink	dicdi peroxisomal membrane protein pex	histone h1 1	autophagy protein
prot-scriber	skyblue	trafficking protein particle complex subunit 6b	monocopper oxidase protein sku	of phosphomevalonate kinase
prot-scriber	darkolivegreen	mrg domain containing protein	s acyltransferase	shikimate kinase 1
prot-scriber	plum1	dna directed rna polymerases ii iv and v subunit 8b	mfs domain containing protein	thiolase n domain containing protein
prot-scriber	darkmagenta	of topless protein	40s ribosomal protein s23 1	helicase protein mom
prot-scriber	midnightblue	myb dna bind 3 domain containing protein	non structural maintenance of chromosomes element	5 amp activated protein kinase subunit gamma
prot-scriber	darkgrey	gamma glutamylcyclotransferase	exportin t	amb all domain containing protein
prot-scriber	black	pmei domain containing protein	arath calcium dependent protein kinase	pectinesterase
prot-scriber	lightcyan	protein argonaute 4a	arath cyclin dependent kinase 2	anaphase promoting complex subunit
prot-scriber	tan	transketolase 1 protein	proline rich receptor protein kinase perk	sam dependent mtase drm type domain containing protein
prot-scriber	lightyellow	hydroxyproline rich glycoprotein family protein	glycerol phosphate 2 acyltransferase	laccase
prot-scriber	grey	sulfate transporter 4 1	adenosine deaminase protein a	protein aba deficient 4 chloroplastic
prot-scriber	blue	thiosulfate 3 sulfurtransferase 1	myb dna bind 3 domain containing protein	dna replication licensing factor mcm
prot-scriber	darkorange	rst domain containing protein	sec16 c domain containing protein	fbd domain containing protein
prot-scriber	grey60	meiosis specific protein pair	saposin b type domain containing protein	calcium uniporter protein 3
prot-scriber	saddlebrown	ddhd domain containing protein	protein unc homolog b	g patch 2 domain containing protein
prot-scriber	darkgreen	lrr receptor serine threonine protein kinase	gdsl esterase lipase	abc transporter g family member
swissprot	lightgreen	E3 ubiquitin-protein ligase CCNB1IP1 homolog OS=Oryza sativa subsp. japonica	Uncharacterized protein At4g06744 OS=Arabidopsis thaliana	Protein CHROMOSOME TRANSMISSION FIDELITY 7 OS=Arabidopsis thaliana
swissprot	salmon	Coatomer subunit beta-2 OS=Oryza sativa subsp. japonica	Ubiquitin C-terminal hydrolase 12 OS=Arabidopsis thaliana	Sucrose transport protein SUT4 OS=Oryza sativa subsp. japonica
swissprot	darkturquoise	ERAD-associated E3 ubiquitin-protein ligase HRD1 OS=Oryza sativa subsp. japonica	Tryptophan synthase alpha chain, chloroplastic OS=Arabidopsis thaliana	Glycerophosphodiester phosphodiesterase GDPDL7 OS=Arabidopsis thaliana
swissprot	steelblue	Probable 3-hydroxyisobutyrate dehydrogenase, mitochondrial OS=Arabidopsis thaliana	Lecithin-cholesterol acyltransferase-like 4 OS=Arabidopsis thaliana	Carboxypeptidase SOL1 OS=Arabidopsis thaliana
swissprot	red	Phospholipid-transporting ATPase 2 OS=Arabidopsis thaliana	Serine/threonine-protein phosphatase BSL2 homolog OS=Oryza sativa subsp. japonica	Ubiquitin C-terminal hydrolase 13 OS=Arabidopsis thaliana
swissprot	greenyellow	Branched-chain-amino-acid aminotransferase 3, chloroplastic OS=Arabidopsis thaliana	Brassinosteroid LRR receptor kinase BRL3 OS=Oryza sativa subsp. japonica	Probable inactive carboxylesterase Os04g0669700 OS=Oryza sativa subsp. japonica
swissprot	cyan	DNA damage-binding protein 1 OS=Oryza sativa subsp. japonica	Metal tolerance protein 2 OS=Oryza sativa subsp. japonica	Tubulin-folding cofactor B OS=Arabidopsis thaliana
swissprot	magenta	E3 ubiquitin-protein ligase SP1 OS=Arabidopsis thaliana	Nuclear pore complex protein NUP96 OS=Arabidopsis thaliana	Cell division control protein 48 homolog C OS=Arabidopsis thaliana
swissprot	brown	MADS-box transcription factor 14 OS=Oryza sativa subsp. japonica	MADS-box transcription factor 1 OS=Oryza sativa subsp. indica	Malate dehydrogenase, cytoplasmic OS=Zea mays
swissprot	white	Lysine-specific demethylase JMJ703 OS=Oryza sativa subsp. japonica	20 kDa chaperonin, chloroplastic OS=Arabidopsis thaliana	ATP-dependent Clp protease proteolytic subunit 5, chloroplastic OS=Arabidopsis thaliana
swissprot	royalblue	Transcription factor MYB3R-2 OS=Oryza sativa subsp. japonica	DNA polymerase eta OS=Arabidopsis thaliana	MADS-box transcription factor 31 OS=Oryza sativa subsp. japonica
