v5 Gene Model ID	v4 Gene Model ID	v3 Gene Model ID	Gene Symbol	Full Name
Zm00001eb250760	Zm00001d017618	GRMZM2G024948	abi16	ABI3-VP1-transcription factor 16
Zm00001eb082150	Zm00001d003601	GRMZM2G017187	abi17	ABI3-VP1-transcription factor 17
Zm00001eb219020	Zm00001d013723	GRMZM2G019956	abi18	ABI3-VP1-transcription factor 18
Zm00001eb361390	Zm00001d011712	GRMZM2G035701	abi19	ABI3-VP1-transcription factor 19
Zm00001eb427970	Zm00001d026005	GRMZM2G018485	abi2	ABI3-VP1-transcription factor 2
Zm00001eb361750	Zm00001d011745	GRMZM2G313737	abi20	ABI3-VP1-transcription factor 20
Zm00001eb421100	Zm00001d025233	GRMZM2G126194	abi21	ABI3-VP1-transcription factor 21
Zm00001eb324300	Zm00001d021790	GRMZM2G008356	abi22	ABI3-VP1-transcription factor 22
Zm00001eb415750	Zm00001d024545	GRMZM2G180168	abi23	ABI3-VP1-transcription factor 23
Zm00001eb051350	Zm00001d033314	GRMZM2G088413	abi24	ABI3-VP1-transcription factor 24
Zm00001eb051370	Zm00001d033324	GRMZM2G344521	abi25	ABI3-VP1-transcription factor 25
Zm00001eb414160	Zm00001d024354	GRMZM2G423393	abi26	ABI3-VP1-transcription factor 26
Zm00001eb033180	Zm00001d031225	GRMZM2G123461	abi27	ABI3-VP1-transcription factor 27
Zm00001eb088080	Zm00001d004358	GRMZM2G109879	abi28	ABI3-VP1-transcription factor 28
Zm00001eb270000	Zm00001d036079	GRMZM2G084173	abi29	ABI3-VP1-transcription factor 29
Zm00001eb066270	Zm00001d001838	GRMZM2G149940	abi3	ABI3-VP1-transcription factor 3
Zm00001eb051340	Zm00001d033314	GRMZM2G088427	abi30	ABI3-VP1-transcription factor 30
Zm00001eb144270	Zm00001d042460	GRMZM2G177244	abi31	ABI3-VP1-transcription factor 31
Zm00001eb330690	Zm00001d022440	GRMZM2G158162	abi32	ABI3-VP1-transcription factor 32
Zm00001eb360750	Zm00001d011639	GRMZM2G065538	abi33	ABI3-VP1-transcription factor 33
Zm00001eb022070	Zm00001d029749	GRMZM2G125095	abi34	ABI3-VP1-transcription factor 34
Zm00001eb246280	Zm00001d017112	GRMZM5G834874	abi35	ABI3-VP1-transcription factor 35
Zm00001eb168870	Zm00001d049094	GRMZM2G001048	abi36	ABI3-VP1-transcription factor 36
Zm00001eb268680	Zm00001d035903	GRMZM2G027253	abi37	ABI3-VP1-transcription factor 37
Zm00001eb393690	Zm00001d047359	GRMZM2G142999	abi38	ABI3-VP1-transcription factor 38
Zm00001eb111570	Zm00001d007173	GRMZM2G172621	abi39	ABI3-VP1-transcription factor 39
Zm00001eb051330	Zm00001d033313	GRMZM2G098063	abi4	ABI3-VP1-transcription factor 4
Zm00001eb197370	Zm00001d052591	GRMZM2G328742	abi40	ABI3-VP1-transcription factor 40
Zm00001eb406950	Zm00001d023446	GRMZM5G805685	abi41	ABI3-VP1-transcription factor 41
Zm00001eb347830	Zm00001d010077	GRMZM2G098443	abi42	ABI3-VP1-transcription factor 42
Zm00001eb401610	Zm00001d048244	GRMZM2G028794	abi43	ABI3-VP1-transcription factor 43
Zm00001eb412120	Zm00001d024103	GRMZM2G405170	abi44	ABI3-VP1-transcription factor 44
Zm00001eb290900	Zm00001d038504	GRMZM2G174610	abi45	ABI3-VP1-transcription factor 45
Zm00001eb030510	Zm00001d030907	GRMZM2G065496	abi46	ABI3-VP1-transcription factor 46
Zm00001eb198710	Zm00001d052750	GRMZM2G125596	abi47	ABI3-VP1-transcription factor 47
Zm00001eb161000	Zm00001d044355	GRMZM2G111123	abi48	ABI3-VP1-transcription factor 48
Zm00001eb259870	Zm00001d034965	GRMZM2G405699	abi49	ABI3-VP1-transcription factor 49
Zm00001eb218990	Zm00001d013722	GRMZM2G320754	abi5	ABI3-VP1-transcription factor 5
Zm00001eb268800		GRMZM2G102938	abi50	ABI3-VP1-transcription factor 50
Zm00001eb413890	Zm00001d024321	GRMZM2G173321	abi51	ABI3-VP1-transcription factor 51
Zm00001eb051360		GRMZM2G130016	abi52	ABI3-VP1-transcription factor 52
Zm00001eb101720		GRMZM2G168661	abi53	ABI3-VP1-transcription factor 53
Zm00001eb101730		GRMZM2G168661	abi53	ABI3-VP1-transcription factor 53
Zm00001eb419760		GRMZM2G379661	abi54	ABI3-VP1-transcription factor 54
Zm00001eb419760		GRMZM2G485953	abi54	ABI3-VP1-transcription factor 54
Zm00001eb419760		GRMZM5G852672	abi54	ABI3-VP1-transcription factor 54
Zm00001eb202300		GRMZM2G302142	abi55	ABI3-VP1-transcription factor 55
Zm00001eb269990		GRMZM2G170177	abi56	ABI3-VP1-transcription factor 5
Zm00001eb187370		AC216872.3_FG002	abi57	ABI3-VP1-transcription factor 57
Zm00001eb343850		GRMZM2G413647	abi59	ABI3-VP1-transcription factor 59
		GRMZM2G160224	abi6	ABI3-VP1-transcription factor 6
Zm00001eb006360	Zm00001d027939	GRMZM2G109480	abi7	ABI3-VP1-transcription factor 7
Zm00001eb001550	Zm00001d027409	GRMZM2G082227	abi8	ABI3-VP1-transcription factor 8
	Zm00001d030908	GRMZM2G522066	abi9	ABI3-VP1-transcription factor 9
Zm00001eb162480	Zm00001d044520	GRMZM5G832362	abil1	abelson interactor1-like protein1
Zm00001eb121300	Zm00001d039498	GRMZM2G132116	abk1	aurora b kinase1
Zm00001eb410800		GRMZM2G078508	abp5	auxin binding protein homolog5
Zm00001eb076960	Zm00001d002982	GRMZM2G035688	abph1	aberrant phyllotaxy1
Zm00001eb401730		AC191071.3_FG001	AC191071.3_FG001	
Zm00001eb174340		AC193632.2_FG002	AC193632.2_FG002	
		AC196957.3_FG005	AC196957.3_FG005	
		AC199517.4_FG001	AC199517.4_FG001	
		AC199517.4_FG006	AC199517.4_FG006	
Zm00001eb180880		AC205154.3_FG005	AC205154.3_FGT005	
Zm00001eb396840		AC206223.3_FG004	AC206223.3_FG004	
Zm00001eb123800		AC206350.3_FG005	AC206350.3_FG005	
Zm00001eb347740		AC208341.4_FG007	AC208341.4_FGT007	
Zm00001eb290280		AC209257.4_FG004	AC209257.4_FG004	
Zm00001eb102470		AC211164.5_FG004	AC211164.5_FGT004	
Zm00001eb013360		AC212219.3_FG005	AC212219.3_FG005	
Zm00001eb075030		AC212835.3_FG007	AC212835.3_FG007	
Zm00001eb150610		AC213654.3_FG004	AC213654.3_FG004	
		AC213890.4_FG004	AC213890.4_FG004	
Zm00001eb042740		AC217977.3_FG001	AC217977.3_FG001	
		AC218932.3_FG009	AC218932.3_FG009	
Zm00001eb157370		AC230013.2_FG002	AC230013.2_FGT002	
		AC233785.2_FG005	AC233785.2_FG005	
Zm00001eb108460		AC233952.1_FG008	AC233952.1_FG008	
Zm00001eb396100		AC233955.1_FG008	AC233955.1_FG008	
Zm00001eb334430		GRMZM5G860137	acat2	acetyl-CoA acetyltransferase2
Zm00001eb415460	Zm00001d024518	GRMZM2G079908	acb1	Acyl-CoA-binding protein1
Zm00001eb385790		GRMZM2G114672	acb10	Acyl-CoA-binding protein10
Zm00001eb378890		GRMZM2G344634	acb2	Acyl-CoA-binding protein2
		GRMZM2G049495	acb3	Acyl-CoA-binding protein3
		GRMZM2G173636	acb4	Acyl-CoA-binding protein4
Zm00001eb010410		GRMZM2G108138	acb5	Acyl-CoA-binding protein5
		GRMZM2G060781	acb6	Acyl-CoA-binding protein6
Zm00001eb063690		GRMZM2G053803	acb7	Acyl-CoA-binding protein7
Zm00001eb063700		GRMZM2G351160	acb8	Acyl-CoA-binding protein8
Zm00001eb211150		GRMZM2G010861	acb9	Acyl-CoA-binding protein9
Zm00001eb211150		GRMZM2G326195	acb9	Acyl-CoA-binding protein9
Zm00001eb419400	Zm00001d024998	AC197672.3_FG002	acc1	acetyl-coenzyme A carboxylase1
Zm00001eb086560	Zm00001d004125	GRMZM5G858094	acc2	acetyl-CoA carboxylase2
Zm00001eb277290	Zm00001d036955	GRMZM2G164883	acco1	1-aminocyclopropane-1-carboxylate oxidase1
Zm00001eb418140	Zm00001d024853	GRMZM2G166639	acco15	1-aminocyclopropane-1-carboxylate oxidase15
Zm00001eb314610	Zm00001d020686	GRMZM2G007249	acco2	1-aminocyclopropane-1-carboxylate oxidase2
Zm00001eb193360	Zm00001d052136	GRMZM2G126732	acco20	1-aminocyclopropane-1-carboxylate oxidase20
Zm00001eb418130	Zm00001d024852	GRMZM2G166616	acco3	1-aminocyclopropane-1-carboxylate oxidase3
Zm00001eb418090	Zm00001d024843	GRMZM2G072529	acco31	1-aminocyclopropane-1-carboxylate oxidase31
Zm00001eb256320	Zm00001d018211	GRMZM2G052422	acco35	1-aminocyclopropane-1-carboxylate oxidase35
Zm00001eb418130	Zm00001d024851	GRMZM2G332423	acco4	1-aminocyclopropane-1-carboxylate oxidase4
Zm00001eb357070		GRMZM2G013448	acco5	1-aminocyclopropane-1-carboxylate oxidase5
Zm00001eb091080		GRMZM5G854264	acco6	1-aminocyclopropane-1-carboxylate oxidase6
Zm00001eb201390		GRMZM2G089856	acco7	1-aminocyclopropane-1-carboxylate oxidase7
Zm00001eb148670		GRMZM2G123977	acd6	accelerated cell death ortholog6
Zm00001eb325910	Zm00001d021961	GRMZM6G953609	ache1	acetylcholinesterase1
Zm00001eb118950	Zm00001d039266	GRMZM2G175065	acm1	accomplice1
Zm00001eb171440	Zm00001d049409	GRMZM2G020801	aco1	aconitase1
Zm00001eb041620		GRMZM2G127429	aco10	aconitase10
Zm00001eb264430		GRMZM2G311024	aco11	aconitase11
Zm00001eb264440		GRMZM2G311024	aco11	aconitase11
Zm00001eb002960		GRMZM2G176397	aco12	aconitase12
Zm00001eb419110	Zm00001d024952	GRMZM5G858454	aco2	aconitase2
Zm00001eb402710	Zm00001d048358	GRMZM2G009808	aco3	aconitase3
Zm00001eb105870	Zm00001d006476	GRMZM2G171707	aco5	aconitase5
Zm00001eb234010		GRMZM2G364988	aco6	aconitase6
Zm00001eb234020		GRMZM2G364988	aco6	aconitase6
Zm00001eb131380		GRMZM2G036131	aco7	aconitase7
Zm00001eb089800		GRMZM2G467338	aco8	aconitase8
Zm00001eb312320		GRMZM2G029204	aco9	aconitase9
Zm00001eb312320		GRMZM2G325666	aco9	aconitase9
Zm00001eb119810		GRMZM2G135481	acoz1	abnormal chromosome organization in zygotene1
Zm00001eb387030	Zm00001d046593	AC211394.4_FG004	acp1	acid phosphatase1
Zm00001eb040040	Zm00001d032019	GRMZM2G175818	acpt1	acyl carrier protein1
Zm00001eb010610		GRMZM2G035552	acr1	ACT domain repeat1
Zm00001eb112480		GRMZM2G077215	acr10	ACT domain repeat10
		GRMZM2G314697	acr11	ACT domain repeat11
Zm00001eb173640		GRMZM2G092432	acr13	ACT domain repeat13
Zm00001eb175400		GRMZM2G129304	acr14	ACT domain repeat14
Zm00001eb184310	Zm00001d051043	GRMZM2G407044	acr17	ACT domain repeat17
Zm00001eb202310		GRMZM2G002531	acr18	ACT domain repeat18
Zm00001eb230270		GRMZM2G164242	acr19	ACT domain repeat19
Zm00001eb020020		GRMZM2G096682	acr2	ACT domain repeat2
Zm00001eb243700		GRMZM2G119517	acr20	ACT domain repeat20
Zm00001eb246720		GRMZM2G007647	acr21	ACT domain repeat21
Zm00001eb261170		GRMZM2G034404	acr22	ACT domain repeat22
Zm00001eb266620		GRMZM2G109821	acr23	ACT domain repeat23
Zm00001eb319970		GRMZM2G160922	acr24	ACT domain repeat24
Zm00001eb321250		GRMZM5G814851	acr25	ACT domain repeat25
Zm00001eb355670		GRMZM2G083847	acr26	ACT domain repeat26
Zm00001eb407550		GRMZM2G465833	acr27	ACT domain repeat27
Zm00001eb036780		GRMZM2G135617	acr3	ACT domain repeat3
Zm00001eb049890		GRMZM2G383408	acr4	ACT domain repeat4
Zm00001eb056070		GRMZM2G089102	acr5	ACT domain repeat5
Zm00001eb085240		GRMZM2G111697	acr6	ACT domain repeat6
Zm00001eb109020		GRMZM2G096123	acr9	ACT domain repeat9
Zm00001eb121190	Zm00001d039487	GRMZM2G163015	acs1	1-aminocyclopropane-1-carboxylate synthase1
Zm00001eb073290	Zm00001d002592	GRMZM2G164405	acs2	1-aminocyclopropane-1-carboxylate synthase2
Zm00001eb378300	Zm00001d045479	GRMZM2G018006	acs3	1-aminocyclopropane-1-carboxylate synthase3
Zm00001eb378320	Zm00001d045479	GRMZM2G018006	acs3	1-aminocyclopropane-1-carboxylate synthase3
Zm00001eb055950	Zm00001d033862	GRMZM2G054361	acs6	1-aminocyclopropane-1-carboxylate synthase6
Zm00001eb428490	Zm00001d026060	GRMZM5G894619	acs7	1-aminocyclopropane-1-carboxylate synthase7
Zm00001eb200870		GRMZM2G117064	acsn1	acyl-CoA synthetase1
Zm00001eb083110		GRMZM2G014651	acsn2	acyl-CoA synthetase2
Zm00001eb119050		GRMZM2G309152	acsn3	acyl-CoA synthetase3
Zm00001eb220480		GRMZM2G030169	act10	actin10
Zm00001eb356050		GRMZM2G549274	act11	actin11
Zm00001eb267260		GRMZM2G104017	act3	actin3
Zm00001eb092070		GRMZM2G006765	act4	actin4
Zm00001eb216070		GRMZM2G152328	act5	actin5
Zm00001eb146780		GRMZM2G053284	act6	actin6
Zm00001eb063720	Zm00001d034761	GRMZM2G053299	act7	actin7
Zm00001eb202400		GRMZM2G126190	act8	actin8
Zm00001eb055330		GRMZM2G047055	act9	actin9
Zm00001eb376020		GRMZM5G864319	acx1	acyl-coenzyme A oxidase1
Zm00001eb279070		GRMZM2G135970	acy1	aminoacylase1
Zm00001eb046050		GRMZM2G167438	ad1	adherent1
Zm00001eb378210		GRMZM2G396553	adc1	arginine decarboxylase1
Zm00001eb185400	Zm00001d051194	GRMZM2G374302	adc2	arginine decarboxylase2
Zm00001eb017520		GRMZM2G108416	adcl1	aminodeoxychorismate lyase1
Zm00001eb118930		GRMZM2G087103	adcl2	aminodeoxychorismate lyase2
Zm00001eb237500		GRMZM2G069596	adcl3	aminodeoxychorismate lyase3
Zm00001eb272970		GRMZM2G416386	adcs1	aminodeoxychorismate synthase1
Zm00001eb354190		GRMZM2G050800	add1	alternative discordia1
Zm00001eb354190		GRMZM2G120178	add1	alternative discordia1
Zm00001eb211740		GRMZM2G002825	adf10	actin depolymerizing factor10
Zm00001eb021290		GRMZM2G064875	adf11	actin depolymerizing factor11
Zm00001eb074420		GRMZM2G071327	adf12	actin depolymerizing factor12
Zm00001eb249860		GRMZM2G015127	adf13	actin depolymerizing factor13
Zm00001eb057310		GRMZM2G145941	adf15	actin depolymerizing factor15
Zm00001eb074410		GRMZM2G071253	adf16	actin depolymerizing factor16
Zm00001eb105010	Zm00001d006372	GRMZM2G097122	adf2	actin depolymerizing factor2
Zm00001eb062590	Zm00001d034644	GRMZM2G060702	adf3	actin depolymerizing factor3
Zm00001eb062600	Zm00001d034644	GRMZM2G060702	adf3	actin depolymerizing factor3
Zm00001eb266570	Zm00001d035629	GRMZM2G037140	adf4	Actin-depolymerizing factor 4
Zm00001eb010370	Zm00001d028392	GRMZM2G077942	adf5	actin depolymerizing factor5
Zm00001eb213630		GRMZM2G130678	adf6	actin depolymerizing factor6
Zm00001eb186790		GRMZM2G463471	adf7	actin depolymerizing factor7
Zm00001eb398870		GRMZM2G147775	adf8	actin depolymerizing factor8
Zm00001eb059710		GRMZM2G108807	adf9	actin depolymerizing factor9
Zm00001eb026710		GRMZM2G152975	adh3	alcohol dehydrogenase3
Zm00001eb026700		GRMZM2G152981	adh4	alcohol dehydrogenase4
Zm00001eb260410	Zm00001d035034	GRMZM2G178192	adk1	adenylate kinase1
Zm00001eb005660	Zm00001d027871	GRMZM2G119852	adss1	adenylosuccinate synthetase
Zm00001eb322550		GRMZM2G121546	adt1	arogenate dehydratase1
Zm00001eb013110		GRMZM2G141273	adt2	arogenate dehydratase2
Zm00001eb404610		GRMZM2G115841	adt3	arogenate dehydratase3
Zm00001eb397170		GRMZM2G145451	adt4	arogenate dehydratase4
Zm00001eb421790		GRMZM2G125923	adt5	arogenate dehydratase5
Zm00001eb084260	Zm00001d003830	GRMZM2G437912	adt6	arogenate dehydratase6
Zm00001eb096110		GRMZM2G466543	adt7	arogenate dehydratase7
Zm00001eb242610	Zm00001d016684	GRMZM2G032628	ae1	amylose extender1
Zm00001eb381330		GRMZM2G033685	aed1	aspartyl protease1
Zm00001eb369940		GRMZM2G133029	aed2	aspartyl protease2
Zm00001eb006530		GRMZM2G024099	aed3	aspartyl protease3
Zm00001eb411340		GRMZM2G080650	aer1	alkenal reductase1
Zm00001eb226720		GRMZM2G105428	AF056150	
Zm00001eb226700		GRMZM2G091672	AF056151	
Zm00001eb024240		GRMZM2G077937	AF056152	
Zm00001eb195800		GRMZM2G111928	AF056154	
Zm00001eb037410		GRMZM2G322748	AF056155	
Zm00001eb291370		GRMZM2G116335	AF056156	
Zm00001eb291370		GRMZM2G440849	AF056156	
Zm00001eb077540		GRMZM2G032602	AF056157	
Zm00001eb110140		GRMZM2G354013	AF056158	
Zm00001eb151150		GRMZM2G173647	AF056161	
Zm00001eb303150		AF546188.1_FG003	AF546188.1_FG003	
Zm00001eb303160		AF546188.1_FG006	AF546188.1_FG006	
